Index,Match
61928,240
61929,240
61930,240
61932,240
61933,240
61938,240
61939,240
61943,240
61944,240
61945,240
61946,240
61947,240
61948,240
61951,240
61952,240
61954,240
61959,240
61960,240
65494,254
65495,254
65496,254
65500,254
65501,254
65509,254
65510,254
65511,254
65512,254
65516,254
65517,254
65518,254
65522,254
65525,254
65526,254
65527,254
65528,254
65531,254
65533,254
65537,254
65538,254
65539,254
65540,254
65543,254
65544,254
65545,254
65546,254
65547,254
65550,254
65551,254
65553,254
65554,254
65556,254
65559,254
65562,254
65563,254
66032,256
66034,256
66036,256
66039,256
66044,256
66045,256
66048,256
66050,256
66051,256
67086,260
67088,260
67089,260
67090,260
67091,260
67968,264
67969,264
67970,264
67971,264
67972,264
74619,291
74620,291
74621,291
74623,291
74625,291
74629,291
74630,291
74631,291
74632,291
74633,291
74634,291
74635,291
74636,291
74637,291
74642,291
74645,291
74646,291
74648,291
74650,291
74651,291
74652,291
74653,291
74656,291
74657,291
74659,291
74660,291
74662,291
74665,291
74667,291
74669,291
74672,291
74674,291
74675,291
74677,291
74680,291
74682,291
74684,291
82957,323
82958,323
82959,323
82964,323
82965,323
82966,323
82967,323
82968,323
82969,323
82970,323
84125,328
84130,328
84131,328
84132,328
84133,328
84134,328
84135,328
84136,328
84137,328
