Index,Match
63197,245
75984,296
75985,296
75986,296
75990,296
75991,296
75996,296
76003,296
76004,296
76005,296
76006,296
76009,296
76014,296
76015,296
76016,296
76017,296
76020,296
76022,296
76025,296
76026,296
76032,296
76033,296
76036,296
76038,296
76039,296
76040,296
76041,296
76044,296
79491,310
79492,310
80771,315
80776,315
80779,315
80780,315
80781,315
80782,315
85087,331
85090,331
85091,331
85093,331
86522,337
86525,337
86527,337
86528,337
86529,337
86531,337
86533,337
88378,344
88382,344
88383,344
88386,344
88387,344
88389,344
88394,344
88396,344
88397,344
88403,344
88404,344
88406,344
88407,344
88409,344
88413,344
88416,344
88418,344
88419,344
88422,344
89858,349
89859,349
89861,349
89863,349
89864,349
89867,349
89868,349
89869,349
89870,349
89874,349
