Index,Match
109437,424
109438,424
109440,424
109441,424
109442,424
109443,424
110913,430
110914,430
110915,430
110917,430
110918,430
110919,430
110921,430
110922,430
110923,430
110924,430
111842,434
111843,434
111847,434
111849,434
111850,434
111856,434
111857,434
111858,434
122302,475
122304,475
122306,475
122308,475
122309,475
122310,475
122311,475
122312,475
122316,475
122317,475
122318,475
122319,475
122323,475
122326,475
122331,475
122332,475
122333,475
123118,478
125814,490
125817,490
125818,490
125819,490
125821,490
125822,490
125823,490
125824,490
125825,490
125827,490
125829,490
125830,490
125833,490
125835,490
125838,490
136741,531
136743,531
136744,531
136746,531
136747,531
137288,533
137289,533
138499,538
138502,538
143017,555
143018,555
143020,555
143023,555
143025,555
159195,617
159197,617
159198,617
159200,617
159202,617
159204,617
159206,617
175849,682
175850,682
