Index,Match
937,4
938,4
939,4
940,4
943,4
946,4
947,4
948,4
950,4
2653,11
2654,11
2655,11
2657,11
2659,11
2660,11
2667,11
2668,11
2670,11
2671,11
2673,11
2674,11
2680,11
2681,11
2683,11
2684,11
2688,11
3754,15
3756,15
3759,15
3762,15
3763,15
4876,19
4877,19
5529,22
5533,22
5535,22
5536,22
5537,22
5539,22
5544,22
5546,22
5550,22
5551,22
5552,22
5553,22
5554,22
5557,22
5559,22
5560,22
6642,26
6643,26
6646,26
6647,26
6648,26
8196,32
8197,32
8199,32
8205,32
10594,42
10596,42
10605,42
10606,42
10607,42
10608,42
10609,42
10611,42
10613,42
10615,42
10617,42
10618,42
10619,42
10624,42
10632,42
10633,42
10635,42
10637,42
10638,42
10639,42
10647,42
10650,42
10651,42
10653,42
10654,42
12101,48
12103,48
12105,48
12106,48
12107,48
12108,48
12109,48
12110,48
12114,48
12123,48
12127,48
12129,48
12130,48
12131,48
12132,48
12134,48
12140,48
12142,48
12143,48
12148,48
12149,48
12150,48
12152,48
12153,48
12155,48
12156,48
12162,48
12163,48
12165,48
12168,48
12172,48
12174,48
12175,48
12176,48
12599,50
12600,50
12602,50
12603,50
12605,50
12606,50
12607,50
12609,50
12610,50
12612,50
12613,50
12617,50
12618,50
12619,50
12620,50
12621,50
12625,50
12626,50
12631,50
12633,50
12634,50
12635,50
12636,50
12639,50
12649,50
12656,50
12658,50
12659,50
12660,50
12661,50
12665,50
12668,50
12669,50
12672,50
12675,50
12677,50
12679,50
12680,50
12684,50
12685,50
12686,50
12688,50
12694,50
12696,50
12697,50
12698,50
12700,50
12702,50
12703,50
12708,50
12709,50
12711,50
12714,50
12715,50
12717,50
12718,50
12720,50
12721,50
12722,50
13663,54
13668,54
13669,54
13671,54
13672,54
13673,54
13674,54
13681,54
13682,54
13684,54
13687,54
13688,54
13694,54
13706,54
13707,54
13711,54
13713,54
13715,54
15972,63
15973,63
15978,63
15979,63
15980,63
15981,63
16649,66
16652,66
16653,66
16654,66
16655,66
16656,66
16658,66
16663,66
16664,66
16665,66
16666,66
16668,66
16670,66
16671,66
16673,66
16676,66
16677,66
16681,66
16685,66
16689,66
17436,69
17437,69
17438,69
17439,69
17440,69
17441,69
17442,69
17443,69
17445,69
17446,69
17450,69
17451,69
17452,69
17453,69
17454,69
17455,69
17456,69
17457,69
19002,75
19003,75
19004,75
19005,75
19006,75
19009,75
19012,75
19013,75
20123,79
20127,79
20129,79
20130,79
20131,79
20705,82
20706,82
21219,84
21220,84
21226,84
