Index,Match
7116,28
7117,28
10271,40
10272,40
10273,40
10927,43
10931,43
10932,43
13108,51
13110,51
13111,51
15036,59
17022,67
17024,67
17025,67
17026,67
17789,70
17792,70
17793,70
17794,70
17795,70
17796,70
17798,70
17799,70
17800,70
17801,70
17802,70
17803,70
17808,70
17811,70
17812,70
17813,70
17814,70
17815,70
17816,70
17817,70
17818,70
18538,73
18540,73
18541,73
18542,73
18544,73
18545,73
18546,73
18547,73
21062,83
21065,83
21066,83
21067,83
22909,90
22911,90
22912,90
42577,165
42581,165
44468,173
44469,173
47976,187
47978,187
47979,187
47984,187
47986,187
47987,187
47988,187
48750,190
48752,190
48753,190
48755,190
48756,190
48760,190
48762,190
48763,190
48766,190
48767,190
48768,190
48771,190
48772,190
48773,190
48775,190
48776,190
48778,190
48780,190
48781,190
49569,193
50945,198
50948,198
50949,198
50952,198
50953,198
50954,198
50957,198
50958,198
50959,198
50961,198
50962,198
50964,198
50965,198
50966,198
50970,198
50971,198
50972,198
50974,198
50977,198
50978,198
50979,198
50980,198
50983,198
50985,198
50986,198
50987,198
50989,198
50990,198
53356,207
53357,207
53361,207
53364,207
53368,207
53369,207
53372,207
53373,207
53374,207
53375,207
53377,207
54776,213
54778,213
54779,213
54780,213
54783,213
54786,213
54787,213
54791,213
54792,213
54797,213
56338,219
56339,219
56340,219
56341,219
56342,219
56344,219
56345,219
56350,219
56352,219
56353,219
56355,219
56356,219
56357,219
56361,219
59814,232
59815,232
61111,237
61113,237
61114,237
61115,237
61117,237
61119,237
