Index,Match
1305,5
11268,44
11272,44
11277,44
11278,44
11279,44
11280,44
11281,44
11282,44
11283,44
11284,44
11285,44
14093,55
62001,240
62002,240
62003,240
62008,240
62010,240
62011,240
62012,240
62013,240
64470,250
64471,250
64477,250
64479,250
64480,250
64481,250
64482,250
64483,250
64484,250
64489,250
64490,250
64491,250
64492,250
64496,250
64498,250
64500,250
64501,250
64502,250
65603,254
65605,254
65607,254
65609,254
65610,254
65611,254
68076,264
70589,274
70590,274
70592,274
70595,274
72261,281
72264,281
72265,281
72268,281
72269,281
72904,284
76549,298
76551,298
76553,298
79068,308
79070,308
79071,308
79072,308
79075,308
79076,308
81603,318
81606,318
94738,368
94739,368
94742,368
94743,368
94745,368
94746,368
94747,368
94748,368
94749,368
101893,395
106902,414
106903,414
106904,414
109626,425
109627,425
109628,425
125335,487
125338,487
125339,487
125341,487
125344,487
125346,487
125348,487
125349,487
125350,487
125351,487
125353,487
125356,487
125357,487
125358,487
125359,487
125360,487
125361,487
125362,487
125365,487
125366,487
125367,487
127898,497
127900,497
127901,497
127903,497
127905,497
127906,497
127908,497
130208,506
130215,506
130216,506
140819,547
140821,547
140822,547
143278,556
143279,556
143280,556
143281,556
165486,642
165487,642
167586,650
167588,650
167589,650
169488,657
169491,657
195009,758
195010,758
195013,758
195014,758
195015,758
195016,758
195018,758
195019,758
195020,758
206660,803
206661,803
206663,803
206666,803
