Index,Match
144,1
145,1
146,1
147,1
148,1
149,1
156,1
157,1
158,1
159,1
160,1
161,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
251,1
252,1
253,1
254,1
255,1
256,1
1345,6
1346,6
1347,6
1348,6
1349,6
1350,6
1369,6
1370,6
1371,6
1372,6
1373,6
1374,6
1405,6
1406,6
1407,6
1408,6
1409,6
1410,6
1429,6
1430,6
1431,6
1432,6
1433,6
1434,6
2447,10
2448,10
2449,10
2450,10
2451,10
2452,10
2459,10
2460,10
2461,10
2462,10
2463,10
2464,10
2507,10
2508,10
2509,10
2510,10
2511,10
2512,10
2532,10
2533,10
2534,10
2535,10
2536,10
2537,10
3353,14
3354,14
3355,14
3356,14
3357,14
3358,14
3365,14
3366,14
3367,14
3368,14
3369,14
3370,14
3371,14
3422,14
3423,14
3424,14
3425,14
3426,14
3427,14
3459,14
3460,14
3461,14
3462,14
3463,14
3464,14
3465,14
3466,14
8121,32
8122,32
8123,32
8124,32
8125,32
8126,32
8133,32
8134,32
8135,32
8136,32
8137,32
8138,32
8212,32
8213,32
8214,32
8215,32
8216,32
8217,32
8230,32
8231,32
8232,32
8233,32
8234,32
8235,32
10815,43
10816,43
10817,43
10818,43
10819,43
10820,43
10839,43
10840,43
62677,243
62678,243
62679,243
62680,243
62681,243
62682,243
62689,243
62690,243
62691,243
62692,243
62693,243
62694,243
62757,243
62758,243
62759,243
62760,243
62761,243
62762,243
62763,243
62764,243
62783,243
62784,243
62785,243
62786,243
62787,243
62788,243
63573,247
63574,247
63575,247
63576,247
63577,247
63578,247
63585,247
63586,247
63587,247
63588,247
63589,247
63590,247
63597,247
63598,247
63599,247
63600,247
63601,247
63602,247
63603,247
63604,247
63680,247
63681,247
63682,247
63683,247
63684,247
63685,247
63686,247
64115,249
64116,249
64117,249
64118,249
64119,249
64120,249
64127,249
64128,249
64129,249
64130,249
64131,249
64132,249
64189,249
64190,249
64191,249
64192,249
64193,249
64194,249
65006,252
65007,252
65008,252
65009,252
65010,252
65011,252
65018,252
65019,252
65020,252
65021,252
65022,252
65023,252
65643,255
65644,255
65645,255
65646,255
65647,255
65648,255
67611,262
67612,262
67613,262
67614,262
67615,262
67616,262
67623,262
67624,262
67625,262
67626,262
67627,262
67628,262
67672,262
67673,262
67674,262
67675,262
67676,262
67677,262
67708,262
67709,262
67710,262
67711,262
67712,262
67713,262
68488,266
68489,266
68490,266
68491,266
68492,266
68493,266
68500,266
68501,266
68502,266
68503,266
68504,266
68505,266
68577,266
68578,266
68579,266
68580,266
68581,266
68582,266
69437,270
69438,270
69439,270
69440,270
69441,270
69442,270
69449,270
69450,270
69451,270
69452,270
69453,270
69454,270
69505,270
69506,270
69507,270
69508,270
69509,270
69510,270
70980,276
70981,276
70982,276
70983,276
70984,276
70985,276
70992,276
70993,276
70994,276
70995,276
70996,276
70997,276
71047,276
71048,276
71049,276
71050,276
71051,276
71052,276
71053,276
71074,276
71075,276
71076,276
71077,276
71078,276
71079,276
71752,279
71753,279
71754,279
