Index,Match
91588,356
91589,356
91590,356
91591,356
91592,356
91593,356
91600,356
91601,356
91602,356
91603,356
91604,356
91605,356
92817,360
96498,375
96499,375
96500,375
96501,375
96502,375
96503,375
96504,375
96505,375
99449,386
99450,386
99451,386
99452,386
99453,386
99454,386
99461,386
99462,386
99463,386
99464,386
99465,386
99466,386
102841,399
102842,399
102843,399
102844,399
102845,399
102846,399
110993,430
110994,430
110995,430
110996,430
110997,430
110998,430
110999,430
119591,464
119592,464
119593,464
119594,464
119595,464
119596,464
136816,532
136817,532
136818,532
136819,532
136820,532
136821,532
136828,532
136829,532
136830,532
136831,532
136832,532
136833,532
136866,532
136867,532
136868,532
136869,532
136870,532
136871,532
138621,539
138622,539
138623,539
138624,539
138625,539
138626,539
138635,539
138636,539
138637,539
138638,539
138639,539
138640,539
140578,546
140579,546
140580,546
140581,546
140582,546
140583,546
