Index,Match
107952,419
107953,419
107954,419
107955,419
107956,419
107957,419
107965,419
107966,419
107967,419
107968,419
107969,419
107970,419
108050,419
108051,419
108052,419
108053,419
108054,419
108055,419
108064,419
108065,419
108066,419
108067,419
108068,419
108069,419
108070,419
109219,424
109220,424
109221,424
109222,424
109223,424
109224,424
109249,424
109250,424
109251,424
109252,424
109253,424
109254,424
109329,424
109330,424
109331,424
109332,424
109333,424
109334,424
110931,430
110932,430
110933,430
110934,430
110935,430
110936,430
110955,430
110956,430
110957,430
110958,430
110959,430
110960,430
111867,434
111868,434
111869,434
111870,434
111871,434
111872,434
111879,434
111880,434
111881,434
111882,434
111883,434
111884,434
111952,434
111953,434
111954,434
111955,434
111956,434
111957,434
111964,434
111965,434
111966,434
111967,434
111968,434
111969,434
113863,442
113864,442
113865,442
113866,442
113867,442
113868,442
113899,442
113900,442
113901,442
113902,442
113903,442
113904,442
113935,442
113936,442
113937,442
113938,442
113939,442
113940,442
113941,442
113955,442
113956,442
113957,442
113958,442
113959,442
113960,442
114505,444
114506,444
114507,444
114508,444
114509,444
114510,444
114517,444
114518,444
114519,444
114520,444
114521,444
114522,444
114523,444
114606,444
114607,444
114608,444
114609,444
114610,444
114611,444
114612,444
114625,444
114626,444
114627,444
115420,448
115421,448
115422,448
115423,448
115424,448
115425,448
115444,448
115445,448
115446,448
115447,448
115448,448
115449,448
115516,448
115517,448
115518,448
115519,448
115520,448
115521,448
115529,448
115530,448
115531,448
115532,448
115533,448
115534,448
116327,451
116328,451
116329,451
116330,451
116331,451
116332,451
116345,451
116346,451
116347,451
116348,451
116349,451
116350,451
116417,451
116418,451
116419,451
116420,451
116421,451
116422,451
116429,451
116430,451
116431,451
116432,451
116433,451
116434,451
116435,451
117761,457
117762,457
117763,457
117764,457
117765,457
117766,457
117773,457
117774,457
117775,457
117776,457
117777,457
117778,457
117852,457
117853,457
117854,457
117855,457
117856,457
117857,457
117870,457
117871,457
117872,457
117873,457
117874,457
117875,457
117876,457
117877,457
117878,457
123120,478
123121,478
123122,478
123123,478
123124,478
123125,478
123132,478
123133,478
123134,478
123135,478
123136,478
123137,478
123138,478
123188,478
123189,478
123190,478
123191,478
123192,478
123193,478
123723,481
123724,481
123725,481
123726,481
123727,481
123728,481
123735,481
123736,481
123737,481
123738,481
123739,481
123740,481
123747,481
123748,481
123749,481
123750,481
123751,481
123752,481
132437,515
132438,515
132439,515
132440,515
132441,515
132442,515
132449,515
132450,515
132451,515
132452,515
132453,515
132454,515
132541,515
132542,515
132543,515
132544,515
132545,515
132546,515
132553,515
132554,515
132555,515
132556,515
132557,515
132558,515
133496,519
133497,519
133498,519
133499,519
133500,519
133501,519
133502,519
133509,519
133510,519
133511,519
133512,519
133513,519
133514,519
133889,521
133890,521
133891,521
133892,521
133893,521
133894,521
133907,521
133908,521
133909,521
133910,521
133911,521
133912,521
133968,521
133969,521
133970,521
133971,521
133972,521
133973,521
133999,521
134000,521
134001,521
134002,521
134003,521
134004,521
139409,542
139410,542
139411,542
139412,542
139413,542
139414,542
139415,542
139429,542
139430,542
139431,542
139432,542
139433,542
139434,542
139435,542
139510,542
139511,542
139512,542
139513,542
139514,542
139515,542
139522,542
139523,542
139524,542
139525,542
139526,542
139527,542
