Index,Match
91668,356
91669,356
91670,356
91671,356
91672,356
91673,356
91680,356
91681,356
91682,356
91683,356
91684,356
91685,356
91698,356
91699,356
91700,356
91701,356
91702,356
91703,356
91731,356
91732,356
91733,356
91734,356
91735,356
91736,356
103516,401
103517,401
103518,401
103519,401
103520,401
103521,401
103528,401
103529,401
103530,401
103531,401
103532,401
103533,401
103540,401
103541,401
103542,401
103543,401
103544,401
103545,401
103552,401
103553,401
103554,401
103555,401
103556,401
103557,401
105778,410
105779,410
105780,410
105781,410
105782,410
105783,410
105828,410
105829,410
105830,410
105831,410
105832,410
105833,410
105867,410
105868,410
105869,410
105870,410
105871,410
105872,410
105879,410
105880,410
105881,410
105882,410
105883,410
105884,410
105885,410
107727,418
107728,418
107729,418
107730,418
107731,418
107732,418
107739,418
107740,418
107741,418
107742,418
107743,418
107744,418
107788,418
107789,418
107790,418
107791,418
107792,418
107793,418
107794,418
107801,418
107802,418
107803,418
107804,418
107805,418
107806,418
108735,422
108736,422
108737,422
108738,422
108739,422
108740,422
108747,422
108748,422
108749,422
108750,422
108751,422
108752,422
108772,422
108773,422
108774,422
108775,422
108776,422
108777,422
108797,422
108798,422
108799,422
108800,422
108801,422
108802,422
110167,427
110168,427
110169,427
110170,427
110171,427
110172,427
110181,427
110182,427
110183,427
110184,427
110185,427
110186,427
110218,427
110219,427
110220,427
110221,427
110222,427
110223,427
110224,427
110258,427
110259,427
110260,427
110261,427
110262,427
110263,427
111758,434
111759,434
111760,434
111761,434
111762,434
111763,434
111771,434
111772,434
111773,434
111774,434
111775,434
111776,434
111808,434
111809,434
111810,434
111811,434
111812,434
111813,434
111847,434
111848,434
111849,434
111850,434
111851,434
111852,434
115308,447
115309,447
115310,447
115311,447
115312,447
115313,447
115320,447
115321,447
115322,447
115323,447
115324,447
115325,447
115350,447
115351,447
115352,447
115353,447
115354,447
115355,447
115362,447
115363,447
115364,447
115365,447
115366,447
115367,447
142795,555
142796,555
142797,555
142798,555
142799,555
142800,555
142807,555
142808,555
142809,555
142810,555
142811,555
142812,555
152245,591
152246,591
152247,591
152248,591
152249,591
152250,591
152296,591
152297,591
152298,591
152299,591
152300,591
152301,591
152302,591
161212,625
161213,625
161214,625
161215,625
161216,625
161217,625
161224,625
161225,625
161226,625
161227,625
161228,625
161229,625
161242,625
161243,625
161244,625
161245,625
161246,625
161247,625
161254,625
161255,625
161256,625
161257,625
161258,625
161259,625
162780,631
162781,631
162782,631
162783,631
162784,631
162785,631
162786,631
162799,631
162800,631
162801,631
162802,631
162803,631
162804,631
162817,631
162818,631
162819,631
162820,631
162821,631
162822,631
162843,631
162844,631
162845,631
162846,631
162847,631
162848,631
