Index,Match
3123,13
3124,13
3125,13
3126,13
3127,13
3128,13
3165,13
3166,13
3167,13
3168,13
3169,13
3170,13
3195,13
3196,13
3197,13
3198,13
3199,13
3200,13
3201,13
3209,13
3210,13
3211,13
3212,13
3213,13
3214,13
4047,16
4048,16
4049,16
4050,16
4051,16
4052,16
4071,16
4072,16
4073,16
4074,16
4075,16
4076,16
4114,16
4115,16
4116,16
4117,16
4118,16
4119,16
4126,16
4127,16
4128,16
4129,16
4130,16
4131,16
4132,16
4984,20
4985,20
4986,20
4987,20
4988,20
4989,20
5008,20
5009,20
5010,20
5011,20
5012,20
5013,20
5059,20
5060,20
5061,20
5062,20
5063,20
5064,20
5071,20
5072,20
5073,20
5074,20
5075,20
5076,20
6558,26
6559,26
6560,26
6561,26
6562,26
6563,26
6582,26
6583,26
6584,26
6585,26
6586,26
6587,26
6618,26
6619,26
6620,26
6621,26
6622,26
6623,26
6631,26
6632,26
6633,26
6634,26
6635,26
6636,26
7546,30
7547,30
7548,30
7549,30
7550,30
7551,30
7589,30
7590,30
7591,30
7592,30
7593,30
7594,30
7613,30
7614,30
7615,30
7616,30
7617,30
7618,30
7625,30
7626,30
7627,30
7628,30
7629,30
7630,30
8680,34
8681,34
8682,34
8683,34
8684,34
8685,34
15356,61
15357,61
15358,61
15359,61
15360,61
15361,61
15362,61
15400,61
15401,61
15402,61
15403,61
15404,61
15405,61
15412,61
15413,61
15414,61
15415,61
15416,61
15417,61
15436,61
15437,61
15438,61
15439,61
15440,61
15441,61
15442,61
16927,67
16928,67
16929,67
16930,67
16931,67
16932,67
16987,67
16988,67
16989,67
16990,67
16991,67
16992,67
16993,67
17000,67
17001,67
17002,67
17003,67
17004,67
17005,67
17018,67
17019,67
17020,67
17021,67
17022,67
17023,67
17993,71
17994,71
17995,71
17996,71
17997,71
17998,71
18032,71
18033,71
18034,71
18035,71
18036,71
18037,71
18070,71
18071,71
18072,71
18073,71
18074,71
18075,71
18076,71
18083,71
18084,71
18085,71
18086,71
18087,71
18088,71
19021,75
19022,75
19023,75
19024,75
19025,75
19026,75
19064,75
19065,75
19066,75
19067,75
19068,75
19069,75
19090,75
19091,75
19092,75
19093,75
19094,75
19095,75
19103,75
19104,75
19105,75
19106,75
19107,75
19108,75
19449,77
19450,77
19451,77
19452,77
19453,77
19454,77
19455,77
19492,77
19493,77
19494,77
19495,77
19496,77
19497,77
19511,77
19512,77
19513,77
19514,77
19515,77
19516,77
19539,77
19540,77
19541,77
19542,77
19543,77
19544,77
19545,77
20566,81
20567,81
20568,81
20569,81
20570,81
20571,81
20572,81
20580,81
20581,81
20582,81
20583,81
20584,81
20585,81
20643,81
20644,81
20645,81
20646,81
20647,81
20648,81
20655,81
20656,81
20657,81
20658,81
20659,81
20660,81
20661,81
21277,84
21278,84
21279,84
21280,84
21281,84
21282,84
21289,84
21290,84
21291,84
21292,84
21293,84
21294,84
21314,84
21315,84
21316,84
21317,84
21318,84
21319,84
21326,84
21327,84
21328,84
21329,84
21330,84
21331,84
23686,93
23687,93
23688,93
23689,93
23690,93
23691,93
23741,93
23742,93
23743,93
23744,93
23745,93
23746,93
23753,93
23754,93
23755,93
23756,93
23757,93
23758,93
23759,93
23772,93
23773,93
23774,93
23775,93
23776,93
23777,93
24631,97
24632,97
24633,97
24634,97
24635,97
24636,97
24643,97
24644,97
24645,97
24646,97
24647,97
24648,97
24686,97
24687,97
24688,97
24689,97
24690,97
24691,97
24698,97
24699,97
24700,97
24701,97
24702,97
24703,97
25126,99
25127,99
25128,99
25129,99
25130,99
25131,99
25139,99
25140,99
25141,99
25142,99
25143,99
25144,99
25211,99
25212,99
25213,99
25214,99
25215,99
