Index,Match
76950,300
76951,300
76952,300
76953,300
76954,300
76955,300
77012,300
77013,300
77014,300
77015,300
77016,300
77017,300
78154,305
78155,305
78156,305
78157,305
78158,305
78159,305
78167,305
78168,305
78169,305
78170,305
78171,305
78172,305
78173,305
78230,305
78231,305
78232,305
78233,305
78234,305
78235,305
88743,345
88744,345
88745,345
88746,345
88747,345
88748,345
88755,345
88756,345
88757,345
88758,345
88759,345
88760,345
88761,345
88768,345
88769,345
88770,345
88771,345
88772,345
88773,345
88793,345
88794,345
88795,345
88796,345
88797,345
88798,345
89264,347
89265,347
89266,347
89267,347
89268,347
89269,347
89276,347
89277,347
89278,347
89279,347
89280,347
89281,347
89288,347
89289,347
89290,347
89291,347
89292,347
89293,347
89337,347
89338,347
89339,347
89340,347
89341,347
89342,347
89933,350
89934,350
89935,350
89936,350
89937,350
89938,350
89946,350
89947,350
89948,350
89949,350
89950,350
89951,350
89952,350
90017,350
90018,350
90019,350
90020,350
90021,350
90022,350
90035,350
90036,350
90037,350
90038,350
90039,350
90040,350
90041,350
118308,459
118309,459
118310,459
118311,459
118312,459
118313,459
118320,459
118321,459
118322,459
118323,459
118324,459
118325,459
118369,459
118370,459
118371,459
118372,459
118373,459
118374,459
118375,459
118415,459
118416,459
118417,459
118418,459
118419,459
118420,459
121793,473
121794,473
121795,473
121796,473
121797,473
121798,473
121805,473
121806,473
121807,473
121808,473
121809,473
121810,473
121811,473
121863,473
121864,473
121865,473
121866,473
121867,473
121868,473
121881,473
121882,473
121883,473
121884,473
121885,473
121886,473
