Index,Match
100750,391
100751,391
100752,391
100753,391
100754,391
100755,391
100756,391
100771,391
100772,391
100773,391
100774,391
100775,391
100776,391
100777,391
111777,434
111778,434
111779,434
111780,434
111781,434
111782,434
111789,434
111790,434
111791,434
111792,434
111793,434
111794,434
111820,434
111821,434
111822,434
111823,434
111824,434
111825,434
112684,437
112685,437
112686,437
112687,437
112688,437
112689,437
112690,437
112715,437
112716,437
112717,437
112718,437
112719,437
112720,437
113496,440
113497,440
113498,440
113499,440
113500,440
113501,440
113508,440
113509,440
113510,440
113511,440
113512,440
113513,440
113546,440
113547,440
113548,440
113549,440
113550,440
113551,440
113582,440
113583,440
113584,440
113585,440
113586,440
113587,440
113588,440
116871,453
116872,453
116873,453
116874,453
116875,453
116876,453
116883,453
116884,453
116885,453
116886,453
116887,453
116888,453
116932,453
116933,453
116934,453
116935,453
116936,453
116937,453
124068,483
124069,483
124070,483
124071,483
124072,483
124073,483
124087,483
124088,483
124089,483
124090,483
124091,483
124092,483
124153,483
124154,483
124155,483
124156,483
124157,483
124158,483
124184,483
124185,483
124186,483
124187,483
124188,483
124189,483
124863,486
124864,486
124865,486
124866,486
124867,486
124868,486
124869,486
124870,486
124921,486
124922,486
124923,486
124924,486
124925,486
124926,486
124927,486
124959,486
124960,486
124961,486
124962,486
124963,486
124964,486
124965,486
124978,486
124979,486
124980,486
124981,486
124982,486
124983,486
124984,486
124985,486
125404,488
125405,488
125406,488
125407,488
125408,488
125409,488
125410,488
125418,488
125419,488
125420,488
125421,488
125422,488
125423,488
158315,614
158316,614
158317,614
158318,614
158319,614
158320,614
158351,614
158352,614
158353,614
158354,614
158355,614
158356,614
158381,614
158382,614
158383,614
158384,614
158385,614
158386,614
159510,619
159511,619
159512,619
159513,619
159514,619
159515,619
159522,619
159523,619
159524,619
159525,619
159526,619
159527,619
159535,619
159536,619
159537,619
159538,619
159539,619
159540,619
159619,619
159620,619
159621,619
159622,619
159623,619
159624,619
174023,675
174024,675
174025,675
174026,675
174027,675
174028,675
174029,675
174054,675
174055,675
174056,675
174057,675
174058,675
174059,675
174096,675
174097,675
174098,675
174099,675
174100,675
174101,675
174102,675
174109,675
174110,675
174111,675
174112,675
174113,675
174114,675
174115,675
174954,679
174955,679
174956,679
174957,679
174958,679
174959,679
174985,679
174986,679
174987,679
174988,679
174989,679
174990,679
175035,679
175036,679
175037,679
175038,679
175039,679
175040,679
175047,679
175048,679
175049,679
175050,679
175051,679
175052,679
176162,683
176163,683
176164,683
176165,683
176166,683
176167,683
176180,683
176181,683
176182,683
176183,683
176184,683
176185,683
176222,683
176223,683
176812,686
176813,686
176814,686
176815,686
176816,686
176817,686
176855,686
176856,686
176857,686
176858,686
176859,686
176860,686
176880,686
176881,686
176882,686
176883,686
176884,686
176885,686
176900,686
176901,686
176902,686
176903,686
176904,686
176905,686
180949,702
180950,702
180951,702
180952,702
180953,702
180954,702
180961,702
180962,702
180963,702
180964,702
180965,702
180966,702
180979,702
180980,702
180981,702
180982,702
180983,702
180984,702
181022,702
181023,702
181024,702
181025,702
181026,702
181027,702
181861,705
181862,705
181863,705
181864,705
181865,705
181866,705
181873,705
181874,705
181875,705
181876,705
181877,705
181878,705
181930,705
181931,705
181932,705
181933,705
181934,705
181935,705
181942,705
181943,705
181944,705
181945,705
181946,705
181947,705
181948,705
181949,705
181950,705
184082,714
184083,714
184084,714
184085,714
184086,714
184087,714
184095,714
184096,714
184097,714
184098,714
184099,714
184100,714
184171,714
184172,714
184173,714
184174,714
184175,714
184176,714
184189,714
184190,714
184191,714
184192,714
184193,714
184194,714
184195,714
