Index,Match
131960,513
131961,513
131962,513
131963,513
131964,513
131965,513
131972,513
131973,513
131974,513
131975,513
131976,513
131977,513
131999,513
132000,513
132001,513
132002,513
132003,513
132004,513
132005,513
132020,513
132021,513
132022,513
132609,516
132610,516
132611,516
132612,516
132613,516
132614,516
132615,516
132622,516
132623,516
132624,516
132625,516
132626,516
132627,516
132658,516
132659,516
132660,516
132661,516
132662,516
132663,516
132676,516
132677,516
132678,516
132679,516
132680,516
132681,516
133783,520
133784,520
133785,520
133786,520
133787,520
133788,520
133795,520
133796,520
133797,520
133798,520
133799,520
133800,520
133807,520
133808,520
133809,520
133810,520
133811,520
133812,520
133858,520
133859,520
133860,520
133861,520
133862,520
134575,523
134576,523
134577,523
134578,523
134579,523
134580,523
134587,523
134588,523
134589,523
134590,523
134591,523
134592,523
134637,523
134638,523
134639,523
134640,523
134641,523
134642,523
134662,523
134663,523
134664,523
134665,523
134666,523
134667,523
136294,530
136295,530
136296,530
136297,530
136298,530
136299,530
136306,530
136307,530
136308,530
136309,530
136310,530
136311,530
136338,530
136339,530
136340,530
136341,530
136342,530
136343,530
136363,530
136364,530
136365,530
136366,530
136367,530
136368,530
136369,530
137357,534
137358,534
137359,534
137360,534
137361,534
137362,534
137369,534
137370,534
137371,534
137372,534
137373,534
137374,534
137418,534
137419,534
137420,534
137421,534
137422,534
137423,534
137430,534
137431,534
137432,534
137433,534
137434,534
137435,534
137436,534
138774,539
138775,539
138776,539
138777,539
138778,539
138779,539
138780,539
138781,539
138800,539
138801,539
138802,539
138803,539
138804,539
138805,539
138837,539
138838,539
138839,539
138840,539
138841,539
138842,539
138861,539
138862,539
138863,539
138864,539
138865,539
138866,539
140467,546
140468,546
140469,546
140470,546
140471,546
140472,546
140491,546
140492,546
140493,546
140494,546
140495,546
140496,546
140527,546
140528,546
140529,546
140530,546
140531,546
140532,546
140533,546
140553,546
140554,546
140555,546
140556,546
140557,546
140558,546
141366,549
141367,549
141368,549
141369,549
141370,549
141371,549
141372,549
141385,549
141386,549
141387,549
141388,549
141389,549
141390,549
141433,549
141434,549
141435,549
141436,549
141437,549
141438,549
141469,549
141470,549
141471,549
141472,549
141473,549
141474,549
141791,551
141792,551
141793,551
141794,551
141795,551
141796,551
141803,551
141804,551
141805,551
141806,551
141807,551
141808,551
141815,551
141816,551
141817,551
141818,551
141819,551
141820,551
141869,551
141870,551
141871,551
141872,551
141873,551
141874,551
142705,554
142706,554
142707,554
142708,554
142709,554
142710,554
142711,554
142719,554
142720,554
142721,554
142722,554
142723,554
142724,554
142755,554
142756,554
142757,554
142758,554
142759,554
142760,554
142767,554
142768,554
145987,567
145988,567
145989,567
145990,567
145991,567
145992,567
145999,567
146000,567
146001,567
146002,567
146003,567
146004,567
146066,567
146067,567
146068,567
146069,567
146070,567
146071,567
146078,567
146079,567
146080,567
146081,567
146082,567
146083,567
147132,571
147133,571
147134,571
147135,571
147136,571
147137,571
147150,571
147151,571
147152,571
147153,571
147154,571
147155,571
147156,571
147199,571
147200,571
147201,571
147202,571
147203,571
147204,571
147211,571
147212,571
147213,571
147214,571
147215,571
147216,571
148992,578
148993,578
148994,578
148995,578
148996,578
148997,578
149010,578
149011,578
149012,578
149013,578
149014,578
149015,578
149022,578
149023,578
149024,578
149025,578
149026,578
149027,578
149034,578
149035,578
149036,578
149037,578
149038,578
149039,578
149472,580
149473,580
149474,580
149475,580
149476,580
149477,580
149484,580
149485,580
149486,580
149487,580
149488,580
149489,580
149551,580
149552,580
149553,580
149554,580
149555,580
149556,580
149557,580
149571,580
149572,580
149573,580
149574,580
149575,580
149576,580
150814,585
150815,585
150816,585
150817,585
150818,585
150819,585
150856,585
150857,585
150858,585
150859,585
150860,585
150861,585
150880,585
150881,585
150882,585
150883,585
150884,585
150885,585
150892,585
150893,585
150894,585
150895,585
150896,585
150897,585
151682,589
151683,589
151684,589
151685,589
151686,589
151687,589
151694,589
151695,589
151696,589
151697,589
151698,589
151699,589
151780,589
151781,589
151782,589
151783,589
151784,589
151785,589
151793,589
151794,589
151795,589
151796,589
151797,589
151798,589
152607,592
152608,592
152609,592
152610,592
152611,592
152612,592
152637,592
152638,592
152639,592
152640,592
152641,592
152642,592
152692,592
152693,592
152694,592
152695,592
152696,592
152697,592
152710,592
152711,592
152712,592
152713,592
152714,592
152715,592
153395,595
153396,595
153397,595
153398,595
153399,595
153400,595
153407,595
153408,595
153409,595
153410,595
153411,595
153412,595
153468,595
153469,595
153470,595
153471,595
153472,595
153473,595
153493,595
153494,595
153495,595
153496,595
153497,595
153498,595
154858,601
154859,601
154860,601
154861,601
154862,601
154863,601
154871,601
154872,601
154873,601
154874,601
154875,601
154876,601
154883,601
154884,601
154885,601
154886,601
154887,601
154888,601
154950,601
154951,601
154952,601
154953,601
154954,601
154955,601
156903,609
156904,609
156905,609
156906,609
156907,609
156908,609
156915,609
156916,609
156917,609
156918,609
156919,609
156920,609
157002,609
157003,609
157004,609
157005,609
157006,609
157007,609
157008,609
157023,609
157024,609
157025,609
157026,609
157027,609
157028,609
162498,630
162499,630
162500,630
162501,630
162502,630
162503,630
162553,630
162554,630
162555,630
162556,630
162557,630
162558,630
162591,630
162592,630
162593,630
162594,630
162595,630
162596,630
162603,630
162604,630
162605,630
162606,630
162607,630
162608,630
192955,750
192956,750
192957,750
192958,750
192959,750
192960,750
192991,750
192992,750
192993,750
192994,750
192995,750
192996,750
192997,750
193055,750
193056,750
193057,750
193058,750
193059,750
193060,750
193061,750
