Index,Match
169,1
170,1
171,1
172,1
173,1
174,1
175,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
239,1
240,1
241,1
242,1
243,1
244,1
263,1
264,1
265,1
266,1
1387,6
1388,6
1389,6
1390,6
1391,6
1392,6
1417,6
1418,6
1419,6
1420,6
1421,6
1422,6
1435,6
1436,6
1437,6
1438,6
1439,6
1440,6
2489,10
2490,10
2491,10
2492,10
2493,10
2494,10
2538,10
2539,10
2540,10
2541,10
2542,10
2543,10
3372,14
3373,14
3374,14
3375,14
3376,14
3377,14
3378,14
3385,14
3386,14
3387,14
3388,14
3389,14
3390,14
3434,14
3435,14
3436,14
3437,14
3438,14
3439,14
3447,14
3448,14
3449,14
3450,14
3451,14
3452,14
16667,66
16668,66
16669,66
16670,66
16671,66
16672,66
16727,66
16728,66
16729,66
16730,66
16731,66
16732,66
16745,66
16746,66
16747,66
16748,66
16749,66
16750,66
16763,66
16764,66
16765,66
16766,66
16767,66
16768,66
16769,66
21789,86
21790,86
21791,86
21792,86
21793,86
21794,86
21795,86
23607,93
23608,93
23609,93
23610,93
23611,93
23612,93
23619,93
23620,93
23621,93
23622,93
23623,93
23624,93
23643,93
23644,93
23645,93
23646,93
23647,93
23648,93
24497,96
24498,96
24499,96
24500,96
24501,96
24502,96
24509,96
24510,96
24511,96
24512,96
24513,96
24514,96
25563,100
25564,100
25565,100
25566,100
25567,100
25568,100
25575,100
25576,100
25577,100
25578,100
25579,100
25580,100
27853,109
27854,109
27855,109
27856,109
27857,109
27858,109
28997,114
28998,114
28999,114
29000,114
29001,114
29002,114
29015,114
29016,114
29017,114
29018,114
29019,114
29020,114
29028,114
29029,114
29030,114
29031,114
29032,114
29033,114
29072,114
29073,114
29074,114
29075,114
29076,114
29077,114
29078,114
31116,122
31117,122
31118,122
31119,122
31120,122
31121,122
31128,122
31129,122
31130,122
31131,122
31132,122
31133,122
174796,678
174797,678
174798,678
174799,678
174800,678
174801,678
174808,678
174809,678
174810,678
174811,678
174812,678
174813,678
174860,678
174861,678
174862,678
174863,678
174864,678
174865,678
174872,678
174873,678
174874,678
174875,678
174876,678
174877,678
206197,802
206198,802
206199,802
206200,802
206201,802
206202,802
206250,802
209341,814
209342,814
209343,814
209344,814
209345,814
209346,814
209353,814
209354,814
209355,814
209356,814
209357,814
209358,814
209377,814
209378,814
209379,814
209380,814
209381,814
209382,814
209477,815
209478,815
209479,815
209480,815
209481,815
209482,815
209513,815
209514,815
209515,815
209516,815
209517,815
209518,815
209543,815
209544,815
209545,815
209546,815
209547,815
209548,815
209852,816
209853,816
209854,816
209855,816
209856,816
209857,816
209870,816
209871,816
209872,816
209873,816
209874,816
209875,816
209876,816
209889,816
209890,816
209891,816
209892,816
209893,816
209894,816
209919,816
209920,816
209921,816
209922,816
209923,816
209924,816
