Index,Match
14517,57
14518,57
14519,57
14520,57
14521,57
14522,57
14523,57
18885,75
18886,75
18887,75
18888,75
18889,75
18890,75
18897,75
18898,75
18899,75
18900,75
18901,75
18902,75
18952,75
18953,75
18954,75
18955,75
18956,75
18957,75
18976,75
18977,75
18978,75
18979,75
18980,75
18981,75
18982,75
46336,181
46337,181
46338,181
46339,181
46340,181
46341,181
46342,181
46355,181
46356,181
46357,181
46358,181
46359,181
46360,181
46361,181
46419,181
46420,181
46421,181
46422,181
46423,181
46424,181
46432,181
46433,181
46434,181
46435,181
46436,181
46437,181
46438,181
46439,181
47789,186
47790,186
47791,186
47792,186
47793,186
47794,186
47795,186
47802,186
47803,186
47804,186
47805,186
47806,186
47807,186
47826,186
47827,186
47828,186
47829,186
47830,186
47831,186
47832,186
47839,186
47840,186
47841,186
47842,186
47843,186
47844,186
49843,194
49844,194
49845,194
49846,194
49847,194
49848,194
49885,194
49886,194
49887,194
49888,194
49889,194
49890,194
49928,194
49929,194
49930,194
49931,194
49932,194
49933,194
51705,201
51706,201
51707,201
51708,201
51709,201
51710,201
51736,201
51737,201
51738,201
51739,201
51740,201
51741,201
51776,201
51777,201
51778,201
51779,201
51780,201
51781,201
52648,205
52649,205
52650,205
52651,205
52652,205
52653,205
52702,205
52703,205
52704,205
52705,205
52706,205
52707,205
52720,205
52721,205
52722,205
52723,205
52724,205
52725,205
53472,208
53473,208
53474,208
53475,208
53476,208
53477,208
53484,208
53485,208
53486,208
53487,208
53488,208
53489,208
53490,208
53491,208
53528,208
53529,208
53530,208
53531,208
53532,208
53533,208
53540,208
53541,208
53542,208
53543,208
53544,208
53545,208
54202,211
54203,211
54204,211
54205,211
54206,211
54207,211
54221,211
54222,211
54223,211
54224,211
54225,211
54226,211
54275,211
54276,211
54277,211
54278,211
54279,211
54280,211
54295,211
54296,211
54297,211
54298,211
54299,211
54300,211
54301,211
56377,219
56378,219
56379,219
56380,219
56381,219
56382,219
56383,219
56391,219
56392,219
56393,219
56394,219
56395,219
56396,219
56397,219
56410,219
56411,219
56412,219
56413,219
56414,219
56415,219
58003,225
58004,225
58005,225
58006,225
58007,225
58008,225
58052,225
58053,225
58054,225
58055,225
58056,225
58057,225
58064,225
58065,225
58066,225
58067,225
58068,225
58069,225
58076,225
58077,225
58078,225
58079,225
58080,225
203428,791
203429,791
203430,791
203431,791
203432,791
203433,791
203496,791
203497,791
203498,791
203499,791
203500,791
203501,791
203502,791
203524,791
203525,791
203526,791
203527,791
203528,791
203529,791
203536,791
203537,791
203538,791
203539,791
203540,791
203541,791
204579,795
204580,795
204581,795
204582,795
204583,795
204584,795
204585,795
204641,795
204642,795
204643,795
204644,795
204645,795
204646,795
204671,795
204672,795
204673,795
204674,795
204675,795
204676,795
204683,795
204684,795
204685,795
204686,795
204687,795
204688,795
205107,797
205108,797
205109,797
205110,797
205111,797
205112,797
205113,797
205114,797
205139,797
205140,797
205141,797
205142,797
205143,797
205144,797
205145,797
205205,797
205206,797
205207,797
205208,797
205209,797
205210,797
205901,800
205902,800
205903,800
205904,800
205905,800
205906,800
205913,800
205914,800
205915,800
205916,800
205917,800
205918,800
205919,800
205938,800
205939,800
205940,800
205941,800
205942,800
205943,800
205944,800
206729,804
206730,804
206731,804
206732,804
206733,804
206734,804
206743,804
206744,804
206745,804
206746,804
206747,804
206748,804
206798,804
206799,804
206800,804
206801,804
206802,804
206803,804
206804,804
207270,806
207271,806
207272,806
207273,806
207274,806
207275,806
208674,812
208675,812
208676,812
208677,812
208678,812
208679,812
208680,812
208729,812
208730,812
208731,812
208732,812
208733,812
208734,812
208952,813
208953,813
208954,813
208955,813
208956,813
208957,813
208958,813
208996,813
208997,813
208998,813
208999,813
209000,813
209001,813
209021,813
209022,813
209023,813
209024,813
209025,813
209026,813
209027,813
209035,813
209036,813
209037,813
209038,813
209039,813
209040,813
209755,816
209756,816
209757,816
209758,816
209759,816
209760,816
209767,816
209768,816
209769,816
209770,816
209771,816
209772,816
209797,816
209798,816
209799,816
209800,816
209801,816
209802,816
209803,816
209812,816
209813,816
209814,816
209815,816
209816,816
209817,816
209818,816
