Index,Match
23798,94
23799,94
23800,94
23801,94
23802,94
23803,94
23811,94
23812,94
23813,94
23814,94
23815,94
23816,94
23883,94
23884,94
23885,94
23886,94
23887,94
23888,94
23895,94
23896,94
23897,94
23898,94
23899,94
23900,94
26012,102
26013,102
26014,102
26015,102
26016,102
26017,102
26073,102
26074,102
26075,102
26076,102
26077,102
26078,102
26109,102
26110,102
26111,102
26112,102
26113,102
26114,102
26121,102
26122,102
26123,102
26124,102
26125,102
26126,102
26127,102
26701,105
26702,105
26703,105
26704,105
26705,105
26706,105
26779,105
26780,105
26781,105
26782,105
26783,105
26784,105
