Index,Match
67110,260
67111,260
67112,260
67113,260
67114,260
67115,260
67122,260
67123,260
67124,260
67125,260
67126,260
67127,260
67134,260
67135,260
67136,260
67137,260
67138,260
67139,260
67176,260
67177,260
67178,260
67179,260
67180,260
67181,260
68226,265
68227,265
68228,265
68229,265
68230,265
68231,265
68238,265
68239,265
68240,265
68241,265
68242,265
68243,265
68252,265
68253,265
68254,265
68255,265
68256,265
68257,265
69311,269
69312,269
69313,269
69314,269
69315,269
69316,269
69946,272
69947,272
69948,272
69949,272
69950,272
69951,272
69958,272
69959,272
69960,272
69961,272
69962,272
69963,272
70051,272
70052,272
70053,272
70054,272
70055,272
70056,272
70057,272
71479,278
71480,278
71481,278
71482,278
71483,278
71484,278
71491,278
71492,278
71493,278
71494,278
71495,278
71496,278
71504,278
71505,278
71506,278
71507,278
71508,278
71509,278
71592,278
71593,278
71594,278
71595,278
71596,278
71597,278
72318,282
72319,282
72320,282
72321,282
72322,282
72323,282
72324,282
72430,282
72431,282
72432,282
72433,282
72434,282
72435,282
72436,282
72437,282
72438,282
72439,282
73948,288
73949,288
73950,288
73951,288
73952,288
73953,288
73960,288
73961,288
73962,288
73963,288
73964,288
73965,288
74617,291
74618,291
74619,291
74620,291
74621,291
74622,291
74629,291
74630,291
74631,291
74632,291
74633,291
74634,291
74685,291
74686,291
74687,291
74688,291
74689,291
74690,291
75554,294
75555,294
75556,294
75557,294
75558,294
75559,294
75566,294
75567,294
75568,294
75569,294
75570,294
75571,294
75572,294
75638,294
75639,294
75640,294
75641,294
75642,294
75643,294
75668,294
75669,294
