Index,Match
49448,193
49449,193
49450,193
49451,193
49452,193
49453,193
49460,193
49461,193
49462,193
49463,193
49464,193
49465,193
49466,193
49533,193
49534,193
49535,193
49536,193
49537,193
49538,193
49539,193
49540,193
49553,193
49554,193
49555,193
49556,193
49557,193
49558,193
60328,234
60329,234
60330,234
60331,234
60332,234
60333,234
60334,234
60347,234
60348,234
60349,234
60350,234
60351,234
60352,234
60353,234
60412,234
60413,234
60414,234
60415,234
60416,234
60417,234
60442,234
60443,234
60444,234
60445,234
60446,234
60447,234
60747,236
60748,236
60749,236
60750,236
60751,236
60752,236
60796,236
60797,236
60798,236
60799,236
60800,236
60801,236
60826,236
60827,236
60828,236
60829,236
60830,236
60831,236
60850,236
60851,236
60852,236
60853,236
60854,236
60855,236
