Index,Match
682,3
683,3
684,3
685,3
686,3
687,3
702,3
703,3
704,3
705,3
706,3
707,3
765,3
766,3
767,3
768,3
769,3
770,3
771,3
1477,6
1478,6
1479,6
1480,6
1481,6
1482,6
1528,6
1529,6
1530,6
1531,6
1532,6
1533,6
4960,20
4961,20
4962,20
4963,20
4964,20
4965,20
4972,20
4973,20
4974,20
4975,20
4976,20
4977,20
5027,20
5028,20
5029,20
5030,20
5031,20
5032,20
5033,20
5053,20
5054,20
5055,20
5056,20
5057,20
5058,20
5763,23
5764,23
5765,23
5766,23
5767,23
5768,23
5800,23
5801,23
5802,23
5803,23
5804,23
5805,23
11548,46
11549,46
11550,46
11551,46
11552,46
11553,46
11560,46
11561,46
11562,46
11563,46
11564,46
11565,46
11566,46
11567,46
11623,46
11624,46
11625,46
11626,46
11627,46
11628,46
11635,46
11636,46
11637,46
11638,46
11639,46
11640,46
12456,49
12457,49
12458,49
12459,49
12460,49
12461,49
12468,49
12469,49
12470,49
12471,49
12472,49
12473,49
12535,49
12536,49
12537,49
12538,49
12539,49
12540,49
12547,49
12548,49
12549,49
12550,49
12551,49
12552,49
15972,63
15973,63
15974,63
15975,63
15976,63
15977,63
15985,63
15986,63
15987,63
15988,63
15989,63
15990,63
15991,63
16067,63
16068,63
16069,63
16070,63
16071,63
16474,65
16475,65
16476,65
16477,65
16478,65
16479,65
16480,65
17709,70
17710,70
17711,70
17712,70
17713,70
17714,70
18750,74
18751,74
18752,74
18753,74
18754,74
18755,74
18762,74
18763,74
18764,74
18765,74
18766,74
18767,74
20155,80
20156,80
20157,80
20158,80
20159,80
20160,80
20167,80
20168,80
20169,80
20170,80
20171,80
20172,80
20179,80
20180,80
20181,80
20182,80
20183,80
20184,80
20240,80
20241,80
20242,80
20243,80
20244,80
20245,80
20246,80
20247,80
22013,87
22014,87
22015,87
22016,87
22017,87
22018,87
22025,87
22026,87
22027,87
22028,87
22029,87
22030,87
23077,91
23078,91
23079,91
23080,91
23081,91
23082,91
23089,91
23090,91
23091,91
23092,91
23093,91
23094,91
23151,91
23152,91
23153,91
23154,91
23155,91
23156,91
23157,91
23158,91
23159,91
26961,106
26962,106
26963,106
26964,106
26965,106
26966,106
26975,106
26976,106
26977,106
26978,106
26979,106
26980,106
26987,106
26988,106
26989,106
26990,106
26991,106
26992,106
27036,106
27037,106
27038,106
27039,106
27040,106
27041,106
31308,123
31309,123
31310,123
31311,123
31312,123
31313,123
31314,123
