Index,Match
22043,87
22044,87
22045,87
22046,87
22047,87
22048,87
22055,87
22056,87
22057,87
22058,87
22059,87
22060,87
22091,87
22092,87
22093,87
22094,87
22095,87
22096,87
25267,99
25268,99
25269,99
25270,99
25271,99
25272,99
25279,99
25280,99
25281,99
25282,99
25283,99
25284,99
25291,99
25292,99
25293,99
25294,99
25295,99
25296,99
25315,99
25316,99
25317,99
25318,99
25319,99
25320,99
25921,102
25922,102
25923,102
25924,102
25925,102
25926,102
25933,102
25934,102
25935,102
25936,102
25937,102
25938,102
25962,102
25963,102
25964,102
25965,102
25966,102
25967,102
25974,102
25975,102
25976,102
25977,102
25978,102
25979,102
27530,108
27531,108
27532,108
27533,108
27534,108
27535,108
27542,108
27543,108
27544,108
27545,108
27546,108
27547,108
27554,108
27555,108
27556,108
27557,108
27558,108
27559,108
27578,108
27579,108
27580,108
27581,108
27582,108
27583,108
28590,112
28591,112
28592,112
28593,112
28594,112
28595,112
28602,112
28603,112
28604,112
28605,112
28606,112
28607,112
28614,112
28615,112
28616,112
28617,112
28618,112
28619,112
28626,112
28627,112
28628,112
28629,112
28630,112
28631,112
29792,117
29793,117
29794,117
29795,117
29796,117
29797,117
29804,117
29805,117
29806,117
29807,117
29808,117
29809,117
29828,117
29829,117
29830,117
29831,117
29832,117
29833,117
29847,117
29848,117
29849,117
29850,117
29851,117
29852,117
38721,151
38722,151
38723,151
38724,151
38725,151
38726,151
38733,151
38734,151
38735,151
38736,151
38737,151
38738,151
38745,151
38746,151
38747,151
38748,151
38749,151
38750,151
38763,151
38764,151
38765,151
38766,151
38767,151
38768,151
38769,151
44130,172
44131,172
44132,172
44133,172
44134,172
44135,172
44142,172
44143,172
44144,172
44145,172
44146,172
44147,172
44190,172
44191,172
44192,172
44193,172
44194,172
44195,172
44209,172
