Index,Match
1202,5
1203,5
1204,5
1205,5
1206,5
1207,5
1226,5
1227,5
1228,5
1229,5
1230,5
1231,5
1232,5
1233,5
1258,5
1259,5
1260,5
1261,5
1262,5
1263,5
1264,5
1966,8
1967,8
1968,8
1969,8
1970,8
1971,8
2003,8
2004,8
2005,8
2006,8
2007,8
2008,8
2009,8
70900,275
70901,275
70902,275
70903,275
70904,275
70905,275
70912,275
70913,275
70914,275
70915,275
70916,275
70917,275
70924,275
70925,275
70926,275
70927,275
70928,275
70929,275
96918,376
96919,376
96920,376
96921,376
96922,376
96923,376
96930,376
96931,376
96932,376
96933,376
96934,376
96935,376
101415,393
101416,393
101417,393
101418,393
101419,393
101420,393
101439,393
101440,393
101441,393
101442,393
101443,393
101444,393
101451,393
101452,393
101453,393
101454,393
101455,393
101456,393
101463,393
101464,393
101465,393
101466,393
101467,393
101468,393
103780,402
103781,402
103782,402
103783,402
103784,402
103785,402
103812,402
103813,402
103814,402
103815,402
103816,402
103817,402
103824,402
103825,402
103826,402
106928,415
106929,415
106930,415
106931,415
106932,415
106933,415
106940,415
106941,415
106942,415
106943,415
106944,415
106945,415
107001,415
107002,415
107003,415
107004,415
107005,415
107006,415
107013,415
107014,415
107015,415
107016,415
107017,415
107018,415
108302,420
108303,420
108304,420
108305,420
108306,420
108307,420
108315,420
108316,420
108317,420
108318,420
108319,420
108320,420
108376,420
108377,420
108378,420
108379,420
108380,420
108381,420
108400,420
108401,420
108402,420
108403,420
108404,420
108405,420
109815,426
109816,426
109817,426
109818,426
109819,426
109820,426
109833,426
109834,426
109835,426
109836,426
109837,426
109838,426
111097,431
111098,431
111099,431
111100,431
111101,431
111102,431
111109,431
111110,431
111111,431
111112,431
111113,431
111114,431
111121,431
111122,431
111123,431
111124,431
111125,431
111126,431
111127,431
112027,435
112028,435
112029,435
112030,435
112031,435
112032,435
112039,435
112040,435
112041,435
112042,435
112043,435
112044,435
112057,435
112058,435
112059,435
112060,435
112061,435
112062,435
112107,435
112108,435
112109,435
112110,435
112111,435
112112,435
113041,438
113042,438
113043,438
113044,438
113045,438
113046,438
113053,438
113054,438
113055,438
113056,438
113057,438
113058,438
113059,438
115053,446
115054,446
115055,446
115056,446
115057,446
115058,446
115059,446
115084,446
115085,446
115086,446
115087,446
115088,446
115089,446
115096,446
115097,446
115098,446
115099,446
115100,446
115101,446
115108,446
115109,446
115110,446
115111,446
115112,446
115113,446
115964,450
115965,450
115966,450
115967,450
115968,450
115969,450
115977,450
115978,450
115979,450
115980,450
115981,450
115982,450
115989,450
115990,450
115991,450
115992,450
115993,450
115994,450
116033,450
116034,450
116035,450
116036,450
116037,450
116038,450
117378,455
117379,455
117380,455
117381,455
117382,455
117383,455
117390,455
117391,455
117392,455
117393,455
117394,455
117395,455
117402,455
117403,455
117404,455
117405,455
117406,455
117407,455
117445,455
117446,455
117447,455
117448,455
117449,455
117450,455
118054,458
118055,458
118056,458
118057,458
118058,458
118059,458
118085,458
118086,458
118087,458
118088,458
118089,458
118090,458
118836,461
118837,461
118838,461
118839,461
118840,461
118841,461
118848,461
118849,461
118850,461
118851,461
118852,461
118853,461
118897,461
118898,461
118899,461
118900,461
118901,461
118902,461
118903,461
118922,461
118923,461
118924,461
118925,461
118926,461
118927,461
121430,471
121431,471
121432,471
121433,471
121434,471
121435,471
121442,471
121443,471
121444,471
121445,471
121446,471
121447,471
121461,471
121462,471
121463,471
121464,471
121465,471
121466,471
123014,478
123015,478
123016,478
123017,478
123018,478
123019,478
123026,478
123027,478
123028,478
123029,478
123030,478
123031,478
123032,478
123051,478
123052,478
123053,478
123054,478
123055,478
123056,478
124196,483
124197,483
124198,483
124199,483
124200,483
124201,483
124208,483
124209,483
124210,483
124211,483
124212,483
124213,483
124259,483
124260,483
124261,483
124262,483
124263,483
124264,483
124283,483
124284,483
124285,483
124286,483
124287,483
124288,483
124733,485
124734,485
124735,485
124736,485
124737,485
124738,485
124745,485
124746,485
124747,485
124748,485
124749,485
124750,485
124824,485
124825,485
124826,485
124827,485
124828,485
124829,485
125740,489
125741,489
125742,489
125743,489
125744,489
125745,489
126893,494
126894,494
126895,494
126896,494
126897,494
126898,494
126979,494
126980,494
126981,494
126982,494
126983,494
126984,494
135474,527
135475,527
135476,527
135477,527
135478,527
135479,527
135505,527
135506,527
135507,527
135508,527
135509,527
135510,527
135555,527
135556,527
135557,527
135558,527
135559,527
135560,527
137173,533
137174,533
137175,533
137176,533
137177,533
137178,533
137187,533
137188,533
137189,533
137190,533
137191,533
137192,533
137193,533
137200,533
137201,533
137202,533
137203,533
137204,533
137205,533
137213,533
137214,533
137215,533
137216,533
137217,533
137218,533
141654,550
141655,550
141656,550
141657,550
141658,550
141659,550
141666,550
141667,550
141668,550
141669,550
141670,550
141671,550
141690,550
141691,550
141692,550
141693,550
141694,550
141695,550
141703,550
141704,550
141705,550
141706,550
141707,550
141708,550
142924,555
142925,555
142926,555
142927,555
142928,555
142929,555
142936,555
142937,555
142938,555
142939,555
142940,555
142941,555
142942,555
142981,555
142982,555
142983,555
142984,555
142985,555
142986,555
143758,558
143759,558
143760,558
143761,558
143762,558
143763,558
143770,558
143771,558
143772,558
143773,558
143774,558
143775,558
143782,558
143783,558
143784,558
143785,558
143786,558
143787,558
143800,558
143801,558
143802,558
143803,558
143804,558
143805,558
144409,561
144410,561
144411,561
144412,561
144413,561
144414,561
152870,593
152871,593
152872,593
152873,593
152874,593
152875,593
152882,593
152883,593
152884,593
152885,593
152886,593
152887,593
152900,593
152901,593
152902,593
152903,593
152904,593
152905,593
152912,593
152913,593
152914,593
152915,593
152916,593
152917,593
156452,607
156453,607
156454,607
156455,607
156456,607
156457,607
156466,607
156467,607
156468,607
156469,607
156470,607
156471,607
156478,607
156479,607
156480,607
156481,607
156482,607
156483,607
158229,614
158230,614
158231,614
158232,614
158233,614
158234,614
158241,614
158242,614
158243,614
158244,614
158245,614
158246,614
158253,614
158254,614
158255,614
158256,614
158257,614
158258,614
158265,614
158266,614
158267,614
158268,614
158269,614
158270,614
159095,617
159096,617
159097,617
159098,617
159099,617
159100,617
159140,617
159141,617
159142,617
159143,617
159144,617
159145,617
159158,617
159159,617
159160,617
159161,617
159162,617
159163,617
159170,617
159171,617
159172,617
159173,617
159174,617
159175,617
163210,633
163211,633
163212,633
163213,633
163214,633
163215,633
163224,633
163225,633
163226,633
163227,633
163228,633
163229,633
163237,633
163238,633
163239,633
163240,633
163241,633
163242,633
163255,633
163256,633
163257,633
163258,633
163259,633
169107,656
169108,656
169109,656
169110,656
169111,656
169112,656
169170,656
169171,656
169172,656
169173,656
169174,656
169175,656
184068,714
184069,714
184070,714
184071,714
184072,714
184073,714
184107,714
184108,714
184109,714
184110,714
184111,714
184112,714
184119,714
184120,714
184121,714
184122,714
184123,714
184124,714
184143,714
184144,714
184145,714
184146,714
184147,714
184148,714
184149,714
184150,714
185157,718
185158,718
185159,718
185160,718
185161,718
185162,718
185169,718
185170,718
185171,718
185172,718
185173,718
185174,718
185175,718
185194,718
185195,718
185196,718
185197,718
185198,718
185199,718
185206,718
185207,718
185208,718
185209,718
185210,718
185211,718
185212,718
185650,720
185651,720
185652,720
185653,720
185654,720
185655,720
185662,720
185663,720
185664,720
185665,720
185666,720
185667,720
185686,720
185687,720
185688,720
185689,720
185690,720
185691,720
185710,720
185711,720
185712,720
185713,720
185714,720
185715,720
185716,720
186469,723
186470,723
186471,723
186472,723
186473,723
186474,723
186481,723
186482,723
186483,723
186484,723
186485,723
186486,723
186499,723
186500,723
186501,723
186502,723
186503,723
186504,723
186517,723
186518,723
186519,723
186520,723
186521,723
186522,723
186523,723
189069,734
189070,734
189071,734
189072,734
189073,734
189074,734
189075,734
189083,734
189084,734
189085,734
189086,734
189087,734
189088,734
189127,734
189128,734
189129,734
189130,734
189131,734
189132,734
198132,770
198133,770
198134,770
198135,770
198136,770
198137,770
198144,770
198145,770
198146,770
198147,770
198148,770
198149,770
198156,770
198157,770
198158,770
198159,770
198160,770
198161,770
198174,770
198175,770
198176,770
198177,770
198178,770
198179,770
198180,770
198634,772
198635,772
198636,772
198637,772
198638,772
198639,772
198646,772
198647,772
198648,772
198649,772
198650,772
198651,772
198658,772
198659,772
198660,772
198661,772
198662,772
198663,772
198664,772
199392,775
199393,775
199394,775
199395,775
199396,775
199397,775
199417,775
199418,775
199419,775
199420,775
199421,775
199422,775
199472,775
199473,775
199474,775
199475,775
199476,775
199477,775
199478,775
199485,775
199486,775
199487,775
199488,775
199489,775
199490,775
204611,795
204612,795
204613,795
204614,795
204615,795
204616,795
204623,795
204624,795
204625,795
204626,795
204627,795
204628,795
204647,795
204648,795
204649,795
204650,795
204651,795
204652,795
206699,804
206700,804
206701,804
206702,804
206703,804
206704,804
206711,804
206712,804
206713,804
206714,804
206715,804
206716,804
206749,804
206750,804
206751,804
206752,804
206753,804
206754,804
206755,804
206762,804
206763,804
206764,804
206765,804
206766,804
206767,804
208723,812
208724,812
208725,812
208726,812
208727,812
208728,812
208774,812
208775,812
208776,812
208777,812
208778,812
208779,812
208922,813
208923,813
208924,813
208925,813
208926,813
208927,813
208940,813
208941,813
208942,813
208943,813
208944,813
208945,813
208977,813
208978,813
208979,813
208980,813
208981,813
208982,813
208989,813
208990,813
208991,813
208992,813
208993,813
208994,813
208995,813
209743,816
209744,816
209745,816
209746,816
209747,816
209748,816
