Index,Match
112834,438
112835,438
112836,438
112837,438
112838,438
112839,438
112846,438
112847,438
112848,438
112849,438
112850,438
112851,438
112897,438
112898,438
112899,438
112900,438
112901,438
112902,438
112909,438
112910,438
112911,438
112912,438
112913,438
112914,438
114171,443
114172,443
114173,443
114174,443
114175,443
114176,443
114184,443
114185,443
114186,443
114187,443
114188,443
114189,443
115610,448
115611,448
115612,448
115613,448
115614,448
115615,448
115616,448
115635,448
115636,448
115637,448
115638,448
115639,448
115640,448
125035,486
125036,486
125037,486
125038,486
125039,486
125040,486
125059,486
125060,486
125061,486
125062,486
125063,486
125064,486
125083,486
125084,486
125085,486
125086,486
125087,486
125088,486
125095,486
125096,486
125097,486
125098,486
125099,486
125100,486
125157,487
125158,487
125159,487
125160,487
125161,487
125162,487
125193,487
125194,487
125195,487
125196,487
125197,487
125198,487
125218,487
125219,487
125220,487
125221,487
125222,487
125223,487
137914,536
137915,536
137916,536
137917,536
137918,536
137919,536
137926,536
137927,536
137928,536
137929,536
137930,536
137931,536
137938,536
137939,536
137940,536
137941,536
137942,536
137943,536
138930,540
138931,540
138932,540
138933,540
138934,540
138935,540
138936,540
138949,540
138950,540
138951,540
138952,540
138953,540
138954,540
138961,540
138962,540
138963,540
138964,540
138965,540
138966,540
138973,540
138974,540
138975,540
138976,540
138977,540
138978,540
148462,576
148463,576
148464,576
148465,576
148466,576
148467,576
148474,576
148475,576
148476,576
148477,576
148478,576
148479,576
148486,576
148487,576
148488,576
148489,576
148490,576
148491,576
148492,576
149674,581
149675,581
149676,581
149677,581
149678,581
149679,581
149687,581
149688,581
149689,581
149690,581
149691,581
149692,581
153816,597
153817,597
153818,597
153819,597
153820,597
153821,597
153840,597
153841,597
153842,597
153843,597
153844,597
153845,597
153852,597
153853,597
153854,597
153855,597
153856,597
153857,597
153864,597
153865,597
153866,597
153867,597
153868,597
153869,597
159408,618
159409,618
159410,618
159411,618
159412,618
159413,618
159414,618
