Index,Match
48947,191
48948,191
48949,191
48950,191
48951,191
48952,191
48977,191
48978,191
48979,191
48980,191
48981,191
48982,191
48983,191
49002,191
49003,191
49004,191
49005,191
49006,191
49007,191
49015,191
49016,191
49017,191
49018,191
49019,191
49020,191
49829,194
49830,194
49831,194
49832,194
49833,194
49834,194
49835,194
49849,194
49850,194
49851,194
49852,194
49853,194
49854,194
49910,194
49911,194
49912,194
49913,194
49914,194
49915,194
50952,198
50953,198
50954,198
50955,198
50956,198
50957,198
50964,198
50965,198
50966,198
50967,198
50968,198
50969,198
50970,198
55389,215
55390,215
55391,215
55392,215
55393,215
55394,215
55407,215
55408,215
55409,215
55410,215
55411,215
55412,215
55419,215
55420,215
55421,215
55422,215
55423,215
55424,215
55438,215
55439,215
55440,215
55441,215
55442,215
55443,215
60225,234
60226,234
60227,234
60228,234
60229,234
60230,234
60249,234
60250,234
60251,234
60252,234
60253,234
60254,234
164792,639
164793,639
164794,639
164795,639
164796,639
164797,639
164804,639
164805,639
164806,639
164807,639
164808,639
164809,639
165672,643
165673,643
165674,643
165675,643
165676,643
165677,643
165678,643
165679,643
165722,643
165723,643
165724,643
165725,643
165726,643
165727,643
166198,645
166199,645
166200,645
166201,645
166202,645
166203,645
166210,645
166211,645
166212,645
166213,645
166214,645
166215,645
166216,645
166235,645
166236,645
166237,645
166238,645
166239,645
166240,645
166247,645
166248,645
166249,645
166250,645
166251,645
166252,645
178474,692
178475,692
178476,692
178477,692
178478,692
178479,692
