Index,Match
107782,418
107783,418
107784,418
107785,418
107786,418
107787,418
108759,422
108760,422
108761,422
108762,422
108763,422
108764,422
111826,434
111827,434
111828,434
111829,434
111830,434
111831,434
111832,434
111833,434
111841,434
111842,434
111843,434
111844,434
111845,434
111846,434
111853,434
111854,434
111855,434
111856,434
111857,434
111858,434
123445,479
124135,483
124136,483
124137,483
124138,483
124139,483
124140,483
124147,483
124148,483
124149,483
124150,483
124151,483
124152,483
124159,483
124160,483
124161,483
124162,483
124163,483
124164,483
124172,483
124173,483
124174,483
124175,483
124176,483
124177,483
124646,485
124647,485
124648,485
124649,485
124650,485
124651,485
125430,488
125431,488
125432,488
125433,488
125434,488
125435,488
125444,488
125445,488
125446,488
125447,488
125448,488
125449,488
125877,490
125878,490
125879,490
125880,490
125881,490
125882,490
128298,499
128299,499
128300,499
128301,499
128302,499
128303,499
128310,499
128311,499
128312,499
128313,499
128314,499
128315,499
128316,499
133688,520
133689,520
133690,520
133691,520
133692,520
133693,520
133694,520
135284,526
135285,526
135286,526
135287,526
135288,526
135289,526
135296,526
135297,526
135298,526
135299,526
135300,526
135301,526
135308,526
135309,526
135310,526
135311,526
135312,526
135313,526
136694,531
136695,531
136696,531
136697,531
136698,531
136699,531
136706,531
136707,531
136708,531
136709,531
136710,531
136711,531
136725,531
136726,531
136727,531
136728,531
136729,531
136730,531
137679,535
137680,535
137681,535
137682,535
137683,535
137684,535
143398,557
143399,557
143400,557
143401,557
143402,557
143403,557
143942,559
143943,559
143944,559
143945,559
143946,559
143947,559
