Index,Match
109492,425
109493,425
109494,425
109495,425
109496,425
109497,425
109498,425
109499,425
109506,425
109507,425
109508,425
109509,425
109510,425
109511,425
109512,425
109574,425
109575,425
109576,425
109577,425
109578,425
109579,425
109598,425
109599,425
109600,425
109601,425
109602,425
109603,425
110308,428
110309,428
110310,428
110311,428
110312,428
110313,428
110326,428
110327,428
110328,428
110329,428
110330,428
110331,428
110332,428
110387,428
110388,428
110389,428
110390,428
110391,428
110392,428
110399,428
110400,428
110401,428
110402,428
110403,428
110404,428
122475,476
122476,476
122477,476
122478,476
122479,476
122480,476
122501,476
122502,476
122503,476
122504,476
122505,476
122506,476
122565,476
122566,476
122567,476
122568,476
122569,476
122570,476
122583,476
122584,476
122585,476
122586,476
122587,476
122588,476
