Index,Match
15742,62
15743,62
15744,62
15745,62
15746,62
15747,62
15754,62
15755,62
15756,62
15757,62
15758,62
15759,62
15760,62
15780,62
15781,62
15782,62
15783,62
15784,62
15785,62
15786,62
15787,62
15821,62
15822,62
15823,62
15824,62
15825,62
15826,62
16802,67
16803,67
16804,67
16805,67
16806,67
16807,67
16814,67
16815,67
16816,67
16817,67
16818,67
16819,67
16863,67
16864,67
16865,67
16866,67
16867,67
16868,67
16875,67
16876,67
16877,67
16878,67
16879,67
16880,67
17620,70
17621,70
17622,70
17623,70
17624,70
17625,70
17644,70
17645,70
17646,70
17647,70
17648,70
17649,70
17650,70
17684,70
17685,70
17686,70
17687,70
17688,70
17689,70
43190,168
43191,168
43192,168
43193,168
43194,168
43195,168
44265,173
44266,173
44267,173
44268,173
44269,173
44270,173
44277,173
44278,173
44279,173
44280,173
44281,173
44282,173
44313,173
44314,173
44315,173
44316,173
44317,173
44318,173
44319,173
44333,173
44334,173
44335,173
44336,173
44337,173
44338,173
