Index,Match
139403,542
139404,542
139405,542
139406,542
139407,542
139408,542
139416,542
139417,542
139418,542
139419,542
139420,542
139421,542
139480,542
139481,542
139482,542
139483,542
139484,542
139485,542
139492,542
139493,542
139494,542
139495,542
139496,542
139497,542
157536,611
157537,611
157538,611
157539,611
157540,611
157541,611
157548,611
157549,611
157550,611
157551,611
157552,611
157553,611
157554,611
157561,611
157562,611
157563,611
157564,611
157565,611
157566,611
158979,617
158980,617
158981,617
158982,617
158983,617
158984,617
159057,617
159058,617
159059,617
159060,617
159061,617
159062,617
159063,617
