Index,Match
455,2
456,2
457,2
458,2
459,2
460,2
467,2
468,2
469,2
470,2
471,2
472,2
1591,7
1592,7
1593,7
1594,7
1595,7
1596,7
1605,7
1606,7
1607,7
1608,7
1609,7
1610,7
1623,7
1624,7
1625,7
1626,7
1627,7
1628,7
1635,7
1636,7
1637,7
1638,7
1639,7
1640,7
2388,10
2389,10
2390,10
2391,10
2392,10
2393,10
2394,10
2395,10
2890,12
2891,12
2892,12
2893,12
2894,12
2895,12
2902,12
2903,12
2904,12
2905,12
2906,12
2907,12
2914,12
2915,12
2916,12
2917,12
2918,12
2919,12
2927,12
2928,12
2929,12
2930,12
2931,12
2932,12
3923,16
3924,16
3925,16
3926,16
3927,16
3928,16
3935,16
3936,16
3937,16
3938,16
3939,16
3940,16
3947,16
3948,16
3949,16
3950,16
3951,16
3952,16
5530,22
5531,22
5532,22
5533,22
5534,22
5535,22
5542,22
5543,22
5544,22
5545,22
5546,22
5547,22
5554,22
5555,22
5556,22
5557,22
5558,22
5559,22
5560,22
5567,22
5568,22
5569,22
5570,22
5571,22
5572,22
5573,22
6206,24
6207,24
6208,24
6209,24
6210,24
6211,24
8560,34
8561,34
8562,34
8563,34
8564,34
8565,34
8572,34
8573,34
8574,34
8575,34
8576,34
8577,34
8578,34
8605,34
8606,34
8607,34
8608,34
8609,34
8610,34
8618,34
8619,34
8620,34
8621,34
8622,34
8623,34
9285,37
9286,37
9287,37
9288,37
9289,37
9290,37
9297,37
9298,37
9299,37
9300,37
9301,37
9302,37
9303,37
9310,37
9311,37
9312,37
9313,37
9314,37
9315,37
9322,37
9323,37
9324,37
9325,37
9326,37
9327,37
13570,53
13571,53
13572,53
13573,53
13574,53
13575,53
13582,53
13583,53
13584,53
13585,53
13586,53
13587,53
14159,56
14160,56
14161,56
14162,56
14163,56
14164,56
14171,56
14172,56
14173,56
14174,56
14175,56
14176,56
14183,56
14184,56
14185,56
14186,56
14187,56
14188,56
14207,56
14208,56
14209,56
14210,56
14211,56
14212,56
14608,58
14609,58
14610,58
14611,58
