Index,Match
114381,444
114382,444
114383,444
114384,444
114385,444
114386,444
114393,444
114394,444
114395,444
114396,444
114397,444
114398,444
114399,444
114412,444
114413,444
114414,444
114415,444
114416,444
114417,444
129589,504
129590,504
129591,504
129592,504
129593,504
129594,504
129595,504
129602,504
129603,504
129604,504
129605,504
129606,504
129607,504
129688,504
129689,504
129690,504
129691,504
129692,504
129693,504
129700,504
129701,504
129702,504
129703,504
129704,504
129705,504
131637,512
131638,512
131639,512
131640,512
131641,512
131642,512
131649,512
131650,512
131651,512
131652,512
131653,512
131654,512
132043,514
132044,514
132045,514
132046,514
132047,514
132048,514
132056,514
132057,514
132058,514
132059,514
132060,514
132061,514
132148,514
132149,514
132150,514
132151,514
132152,514
132153,514
132160,514
132161,514
132162,514
132163,514
132164,514
132165,514
134420,523
134421,523
134422,523
134423,523
134424,523
134425,523
134426,523
134427,523
134428,523
134442,523
134443,523
134444,523
134445,523
134446,523
134447,523
134503,523
134504,523
134505,523
134506,523
134507,523
134508,523
134539,523
134540,523
134541,523
134542,523
134543,523
134544,523
