Index,Match
7015,28
7016,28
7017,28
7018,28
7019,28
7020,28
7027,28
7028,28
7029,28
7030,28
7031,28
7032,28
7051,28
7052,28
7053,28
7054,28
7055,28
7056,28
7063,28
7064,28
7065,28
7066,28
7067,28
7068,28
9266,37
9267,37
9268,37
9269,37
9270,37
9271,37
9272,37
9304,37
9305,37
9306,37
9307,37
9308,37
9309,37
9316,37
9317,37
9318,37
9319,37
9320,37
9321,37
11245,44
11246,44
11247,44
11248,44
11249,44
11250,44
11257,44
11258,44
11259,44
11260,44
11261,44
11262,44
11269,44
11270,44
11271,44
11272,44
11273,44
11274,44
11275,44
11282,44
11283,44
11284,44
11285,44
11968,47
11969,47
11970,47
11971,47
11972,47
11973,47
11980,47
11981,47
11982,47
11983,47
11984,47
11985,47
12628,50
12629,50
12630,50
12631,50
12632,50
12633,50
12640,50
12641,50
12642,50
12643,50
12644,50
12645,50
12671,50
12672,50
12673,50
12674,50
12675,50
12676,50
13532,53
13533,53
13534,53
13535,53
13536,53
13537,53
13544,53
13545,53
13546,53
13547,53
13548,53
13549,53
13556,53
13557,53
13558,53
13559,53
13560,53
13561,53
14141,56
14142,56
14143,56
14144,56
14145,56
14146,56
14153,56
14154,56
14155,56
14156,56
14157,56
14158,56
14189,56
14190,56
14191,56
14192,56
14193,56
14194,56
14201,56
14202,56
14203,56
14204,56
14205,56
14206,56
14590,58
14591,58
14592,58
14593,58
14594,58
14595,58
14602,58
14603,58
14604,58
14605,58
14606,58
14607,58
14614,58
14615,58
14616,58
14617,58
14618,58
14619,58
14650,58
14651,58
14652,58
14653,58
14654,58
14655,58
14656,58
14940,59
14941,59
14942,59
14943,59
14944,59
14945,59
14946,59
14953,59
14954,59
14955,59
14956,59
14957,59
14958,59
14959,59
14966,59
14967,59
14968,59
14969,59
14970,59
14971,59
14990,59
14991,59
14992,59
14993,59
14994,59
14995,59
19382,76
19383,76
19384,76
19385,76
19386,76
19387,76
19394,76
19395,76
19396,76
20074,79
20075,79
20076,79
20077,79
20078,79
20079,79
20086,79
20087,79
20088,79
20089,79
20090,79
20091,79
20099,79
20100,79
20101,79
20102,79
20103,79
20104,79
23487,92
23488,92
23489,92
23490,92
23491,92
23492,92
26055,102
26056,102
26057,102
26058,102
26059,102
26060,102
30322,119
30323,119
30324,119
30325,119
30326,119
30327,119
30328,119
30359,119
30360,119
30361,119
30362,119
30363,119
30364,119
30371,119
30372,119
30373,119
30374,119
30375,119
30376,119
39137,152
39138,152
39139,152
39140,152
39141,152
39142,152
