Index,Match
591,3
592,3
593,3
594,3
595,3
596,3
603,3
604,3
605,3
606,3
607,3
608,3
615,3
616,3
617,3
618,3
619,3
620,3
645,3
646,3
647,3
648,3
649,3
650,3
1726,7
1727,7
1728,7
1729,7
1730,7
1731,7
1732,7
1739,7
1740,7
1741,7
1742,7
1743,7
1744,7
1763,7
1764,7
1765,7
1766,7
1767,7
1768,7
1775,7
1776,7
1777,7
1778,7
1779,7
1780,7
3504,14
3505,14
3506,14
3507,14
3508,14
3509,14
3516,14
3517,14
3518,14
3519,14
3520,14
3521,14
3528,14
3529,14
3530,14
3531,14
3532,14
3533,14
3540,14
3541,14
3542,14
3543,14
3544,14
3545,14
4450,18
4451,18
4452,18
4453,18
4454,18
4455,18
4492,18
4493,18
4494,18
4495,18
4496,18
4497,18
4516,18
4517,18
4518,18
4519,18
4520,18
4521,18
5915,23
5916,23
5917,23
5918,23
5919,23
5920,23
5927,23
5928,23
5929,23
5930,23
5931,23
5932,23
5939,23
5940,23
5941,23
5942,23
5943,23
5944,23
5963,23
5964,23
5965,23
5966,23
5967,23
5968,23
7324,29
7325,29
7326,29
7327,29
7328,29
7329,29
7336,29
7337,29
7338,29
7339,29
7340,29
7341,29
7354,29
7355,29
7356,29
7357,29
7358,29
7359,29
7366,29
7367,29
7368,29
7369,29
7370,29
7371,29
7783,31
7784,31
7785,31
7786,31
7787,31
7788,31
7795,31
7796,31
7797,31
7798,31
7799,31
7800,31
7820,31
7821,31
7822,31
7823,31
7824,31
7825,31
7850,31
7851,31
7852,31
7853,31
7854,31
7855,31
9012,36
9013,36
9014,36
9015,36
9016,36
9017,36
9018,36
9019,36
9026,36
9027,36
9028,36
9029,36
9030,36
9031,36
9039,36
9040,36
9041,36
9042,36
9043,36
9044,36
9063,36
9064,36
9065,36
9066,36
9067,36
9068,36
10219,40
10220,40
10221,40
10222,40
10223,40
10224,40
10231,40
10232,40
10233,40
10234,40
10235,40
10236,40
10243,40
10244,40
10245,40
10246,40
10247,40
10248,40
10255,40
10256,40
10257,40
10258,40
10259,40
10260,40
12147,48
12148,48
12149,48
12150,48
12151,48
12152,48
12159,48
12160,48
12161,48
12162,48
12163,48
12164,48
12171,48
12172,48
12173,48
12174,48
12175,48
12176,48
12177,48
13433,53
13434,53
13435,53
13436,53
13437,53
13438,53
13445,53
13446,53
13447,53
13448,53
13449,53
13450,53
13499,53
13500,53
13501,53
13502,53
13503,53
13504,53
15595,62
15596,62
15597,62
15598,62
15599,62
15600,62
15607,62
15608,62
15609,62
15610,62
15611,62
15612,62
15613,62
15638,62
15639,62
15640,62
15641,62
15642,62
15643,62
16263,64
16264,64
16265,64
16266,64
16267,64
16268,64
16275,64
16276,64
16277,64
16278,64
16279,64
16280,64
16293,64
16294,64
16295,64
16296,64
16297,64
16298,64
16299,64
17476,69
17477,69
17478,69
17479,69
17480,69
17481,69
17488,69
17489,69
17490,69
17491,69
17492,69
17493,69
17500,69
17501,69
17502,69
17503,69
17504,69
17505,69
17518,69
17519,69
17520,69
17521,69
17522,69
17523,69
18291,72
18292,72
18293,72
18294,72
18295,72
18296,72
18303,72
18304,72
18305,72
18306,72
18307,72
18308,72
18315,72
18316,72
18317,72
18318,72
18319,72
18320,72
18327,72
18328,72
18626,74
18627,74
18628,74
18629,74
18630,74
18631,74
18662,74
18663,74
18664,74
18665,74
18666,74
18667,74
18698,74
18699,74
18700,74
18701,74
18702,74
18703,74
18710,74
18711,74
18712,74
18713,74
18714,74
18715,74
19583,77
19584,77
19585,77
19586,77
19587,77
19588,77
21480,85
21481,85
21482,85
21483,85
21484,85
21485,85
21540,85
21541,85
21542,85
21543,85
21544,85
21545,85
22304,88
22305,88
22306,88
22307,88
22308,88
22309,88
22316,88
22317,88
22318,88
22319,88
22320,88
22321,88
22329,88
22330,88
22331,88
22332,88
22333,88
22334,88
22342,88
22343,88
22344,88
22345,88
22346,88
22347,88
23324,92
23325,92
23326,92
23327,92
23328,92
23329,92
23336,92
23337,92
23338,92
23339,92
23340,92
23341,92
23348,92
23349,92
23350,92
23351,92
23352,92
23353,92
23385,92
23386,92
23387,92
23388,92
23389,92
23390,92
23391,92
24353,96
24354,96
24355,96
24356,96
24357,96
24358,96
24366,96
24367,96
24368,96
24369,96
24370,96
24371,96
25414,100
25415,100
25416,100
25417,100
25418,100
25419,100
25426,100
25427,100
25428,100
25429,100
25430,100
25431,100
25452,100
25453,100
25454,100
25455,100
25456,100
25457,100
26346,103
26347,103
26348,103
26349,103
26350,103
26351,103
26352,103
26359,103
26360,103
26361,103
26362,103
26363,103
26364,103
27421,108
27422,108
27423,108
27424,108
27425,108
27426,108
27433,108
27434,108
27435,108
27436,108
27437,108
27438,108
27445,108
27446,108
27447,108
