Index,Match
22657,89
22658,89
22659,89
22660,89
22661,89
22662,89
22670,89
22671,89
22672,89
22673,89
22674,89
22675,89
22762,89
22763,89
22764,89
22765,89
22766,89
22767,89
22775,89
22776,89
22777,89
22778,89
22779,89
22780,89
22781,89
22782,89
23404,92
23405,92
23406,92
23407,92
23408,92
23409,92
23416,92
23417,92
23418,92
23419,92
23420,92
23421,92
23505,92
23506,92
23507,92
23508,92
23509,92
23510,92
23511,92
23804,94
23805,94
23806,94
23807,94
23808,94
23809,94
23810,94
23817,94
23818,94
23819,94
23820,94
23821,94
23822,94
23829,94
23830,94
23831,94
23832,94
23833,94
23834,94
23889,94
23890,94
23891,94
23892,94
23893,94
23894,94
28165,111
28166,111
28167,111
28168,111
28169,111
28170,111
28221,111
28222,111
28223,111
28224,111
28225,111
28226,111
28252,111
28253,111
28254,111
28255,111
28256,111
28257,111
28258,111
28259,111
29228,115
29229,115
29230,115
29231,115
29232,115
29233,115
29240,115
29241,115
29242,115
29243,115
29244,115
29245,115
29252,115
29253,115
29254,115
29255,115
29256,115
29257,115
29328,115
29329,115
29330,115
29331,115
29332,115
29333,115
29334,115
29493,116
29494,116
29495,116
29496,116
29497,116
29498,116
29505,116
29506,116
29507,116
29508,116
29509,116
29510,116
29581,116
29582,116
29583,116
29584,116
29585,116
29586,116
29602,116
29603,116
29604,116
29605,116
29606,116
29607,116
30290,119
30291,119
30292,119
30293,119
30294,119
30295,119
30302,119
30303,119
30304,119
30305,119
30306,119
30307,119
30383,119
30384,119
30385,119
30386,119
30387,119
30388,119
30397,119
30398,119
30399,119
30400,119
30401,119
30402,119
46066,180
46067,180
46068,180
46069,180
46070,180
46071,180
46072,180
46073,180
46124,180
46125,180
46126,180
46127,180
46128,180
46129,180
46148,180
46149,180
46150,180
46151,180
46152,180
46153,180
46160,180
46161,180
46162,180
46163,180
46164,180
46165,180
47079,184
47080,184
47081,184
47082,184
47083,184
47084,184
47129,184
47130,184
47131,184
47132,184
47133,184
47134,184
47135,184
47155,184
47156,184
47157,184
47158,184
47159,184
47160,184
47179,184
47180,184
47181,184
47182,184
47183,184
47184,184
47185,184
47186,184
47187,184
49738,194
49739,194
49740,194
49741,194
49742,194
49743,194
49756,194
49757,194
49758,194
49759,194
49760,194
49761,194
49810,194
49811,194
49812,194
49813,194
49814,194
49815,194
49816,194
49823,194
49824,194
49825,194
49826,194
49827,194
49828,194
57602,224
57603,224
57604,224
57605,224
57606,224
57607,224
57632,224
57633,224
57634,224
57635,224
57636,224
57637,224
57680,224
57681,224
57682,224
57683,224
57684,224
57685,224
57686,224
57693,224
57694,224
57695,224
57696,224
57697,224
57698,224
