Index,Match
3221,13
3222,13
3223,13
3224,13
3225,13
3226,13
3233,13
3234,13
3235,13
3236,13
3237,13
3238,13
3239,13
3271,13
3272,13
3273,13
3274,13
3275,13
3276,13
3320,13
3321,13
3322,13
3323,13
3324,13
3325,13
3326,13
8403,33
8404,33
8405,33
8406,33
8407,33
8408,33
8409,33
8422,33
8423,33
8424,33
8425,33
8426,33
8427,33
8434,33
8435,33
8436,33
8437,33
8438,33
8439,33
8489,33
8490,33
8491,33
8492,33
8493,33
8494,33
14259,56
14260,56
14261,56
14262,56
14263,56
14264,56
14265,56
14266,56
14279,56
14280,56
14281,56
14282,56
14283,56
14284,56
14309,56
14310,56
14311,56
14312,56
14313,56
14314,56
14315,56
14316,56
14317,56
14822,59
14823,59
14824,59
14825,59
14826,59
14827,59
14834,59
14835,59
14836,59
14837,59
14838,59
14839,59
14840,59
30805,121
30806,121
30807,121
30808,121
30809,121
30810,121
30847,121
30848,121
30849,121
30850,121
30851,121
30852,121
30877,121
30878,121
30879,121
30880,121
30881,121
30882,121
30895,121
30896,121
30897,121
30898,121
30899,121
30900,121
31975,125
31976,125
31977,125
31978,125
31979,125
31980,125
31988,125
31989,125
31990,125
31991,125
31992,125
31993,125
31994,125
32069,125
32070,125
32071,125
32072,125
32073,125
32074,125
32081,125
32082,125
32083,125
32084,125
32085,125
32086,125
32087,125
33038,129
33039,129
33040,129
33041,129
33042,129
33043,129
33087,129
33088,129
33089,129
33090,129
33091,129
33092,129
33093,129
33124,129
33125,129
33126,129
33127,129
33128,129
33129,129
33142,129
33143,129
33144,129
33145,129
33146,129
33147,129
33148,129
34799,136
34800,136
34801,136
34802,136
34803,136
34804,136
34879,136
34880,136
34881,136
34882,136
34883,136
34884,136
37245,145
37246,145
37247,145
37248,145
37249,145
37250,145
37263,145
37264,145
37265,145
37266,145
37267,145
37268,145
37312,145
37313,145
37314,145
37315,145
37316,145
37317,145
37318,145
46747,182
46748,182
46749,182
46750,182
46751,182
46752,182
46753,182
46760,182
46761,182
46762,182
46763,182
46764,182
46765,182
46772,182
46773,182
46774,182
46775,182
46776,182
46777,182
46784,182
46785,182
46786,182
46787,182
46788,182
46789,182
47496,185
47497,185
47498,185
47499,185
47500,185
47501,185
47509,185
47510,185
47511,185
47512,185
47513,185
47514,185
47521,185
47522,185
47523,185
47524,185
47525,185
47526,185
47576,185
47577,185
47578,185
47579,185
47580,185
47581,185
51437,200
51438,200
51439,200
51440,200
51441,200
51442,200
51449,200
51450,200
51451,200
51452,200
51453,200
51454,200
51467,200
51468,200
51469,200
51470,200
51471,200
51472,200
51504,200
51505,200
51506,200
51507,200
51508,200
51509,200
53612,208
53613,208
53614,208
53615,208
53616,208
53617,208
53624,208
53625,208
53626,208
53627,208
53628,208
53629,208
53630,208
53643,208
53644,208
53645,208
53646,208
53647,208
53648,208
53655,208
53656,208
53657,208
53658,208
53659,208
57724,224
57725,224
57726,224
57727,224
57728,224
57729,224
57761,224
57762,224
57763,224
57764,224
57765,224
57766,224
57797,224
57798,224
57799,224
57800,224
57801,224
57802,224
57803,224
57810,224
57811,224
57812,224
57813,224
57814,224
57815,224
57816,224
57817,224
