Index,Match
62006,240
62007,240
62008,240
62009,240
62010,240
62011,240
62012,240
62026,240
62027,240
64830,251
64831,251
64832,251
64833,251
64834,251
64835,251
64842,251
64843,251
64844,251
64845,251
64846,251
64847,251
65857,255
65858,255
65859,255
65860,255
65861,255
65862,255
66529,258
66530,258
66531,258
66532,258
66533,258
66534,258
66535,258
69133,268
69134,268
69135,268
69136,268
69137,268
69138,268
70171,272
70172,272
70173,272
70174,272
70175,272
70176,272
70185,272
70186,272
70187,272
70188,272
70189,272
70190,272
70191,272
70948,275
70949,275
70950,275
70951,275
70952,275
70953,275
73243,285
73244,285
73245,285
73246,285
73247,285
73248,285
74932,292
74933,292
74934,292
74935,292
74936,292
74937,292
74938,292
74945,292
74946,292
74947,292
74948,292
74949,292
74950,292
77587,303
77588,303
77589,303
77590,303
77591,303
77592,303
77620,303
77621,303
77622,303
77623,303
77624,303
77625,303
77626,303
77627,303
79973,312
79974,312
79975,312
79976,312
79977,312
79978,312
79985,312
79986,312
79987,312
79988,312
79989,312
79990,312
79997,312
79998,312
79999,312
80000,312
80001,312
80002,312
80009,312
80010,312
80011,312
80012,312
80013,312
80014,312
81509,318
81510,318
81511,318
81512,318
81513,318
81514,318
81521,318
81522,318
81523,318
81524,318
81525,318
81526,318
81589,318
81590,318
81591,318
81592,318
81593,318
81594,318
82719,322
82720,322
82721,322
82722,322
82723,322
82724,322
82725,322
89457,348
89458,348
89459,348
89460,348
89461,348
89462,348
89469,348
89470,348
89471,348
89472,348
89473,348
89474,348
89481,348
89482,348
89483,348
89484,348
89485,348
89486,348
89487,348
89494,348
89495,348
89496,348
89497,348
89498,348
89499,348
91389,355
91390,355
91391,355
91392,355
91393,355
91394,355
91457,355
91458,355
91459,355
91460,355
91461,355
91462,355
91469,355
91470,355
91471,355
91472,355
91473,355
91474,355
93136,362
93137,362
93138,362
93139,362
93140,362
93141,362
93155,362
93156,362
93157,362
93158,362
93159,362
93160,362
93167,362
93168,362
93169,362
93170,362
93171,362
93172,362
93209,362
93210,362
93211,362
93212,362
93213,362
93214,362
103818,402
103819,402
103820,402
103821,402
103822,402
103823,402
104923,407
104924,407
104925,407
104926,407
104927,407
104928,407
104935,407
104936,407
104937,407
104938,407
104939,407
104940,407
104953,407
104954,407
104955,407
104956,407
104957,407
104958,407
104977,407
104978,407
104979,407
104980,407
104981,407
104982,407
134929,524
134930,524
134931,524
134932,524
134933,524
134934,524
135543,527
135544,527
135545,527
135546,527
135547,527
135548,527
144714,562
144715,562
144716,562
144717,562
144718,562
144719,562
146523,569
146524,569
146525,569
146526,569
146527,569
146528,569
146535,569
146536,569
146537,569
146538,569
146539,569
146540,569
167278,649
167279,649
167280,649
167281,649
167282,649
167283,649
167290,649
167291,649
167292,649
167293,649
167294,649
167295,649
168253,653
168254,653
168255,653
168256,653
168257,653
168258,653
170962,663
170963,663
170964,663
170965,663
170966,663
170967,663
170974,663
170975,663
170976,663
170977,663
170978,663
170979,663
170986,663
170987,663
170988,663
170989,663
170990,663
170991,663
170992,663
171000,663
171001,663
171002,663
171003,663
171004,663
171005,663
171478,665
171479,665
171480,665
171481,665
171482,665
171483,665
171484,665
171533,665
171534,665
171535,665
171536,665
171537,665
171538,665
172544,669
172545,669
