Index,Match
22436,88
22437,88
22438,88
22439,88
22440,88
22441,88
22449,88
22450,88
22451,88
22452,88
22453,88
22454,88
22467,88
22468,88
22469,88
22470,88
22471,88
22472,88
22473,88
22486,88
22487,88
22488,88
22489,88
22490,88
22491,88
23985,94
23986,94
23987,94
23988,94
23989,94
23990,94
23991,94
23992,94
23999,94
24000,94
24001,94
24002,94
24003,94
24004,94
24011,94
24012,94
24013,94
24014,94
24015,94
24016,94
32681,128
32682,128
32683,128
32684,128
32685,128
32686,128
32693,128
32694,128
32695,128
32696,128
32697,128
32698,128
32711,128
32712,128
32713,128
32714,128
32715,128
32716,128
32731,128
32732,128
32733,128
32734,128
32735,128
32736,128
33916,132
33917,132
33918,132
33919,132
33920,132
33921,132
33928,132
33929,132
33930,132
33931,132
33932,132
33933,132
35084,137
35085,137
35086,137
35087,137
35088,137
35089,137
35097,137
35098,137
35099,137
35100,137
35101,137
35102,137
35109,137
35110,137
35111,137
35112,137
35113,137
35114,137
35121,137
35122,137
35123,137
35124,137
35125,137
35126,137
35127,137
37791,147
37792,147
37793,147
37794,147
37795,147
37796,147
37803,147
37804,147
37805,147
37806,147
37807,147
37808,147
37815,147
37816,147
37817,147
37818,147
37819,147
37820,147
37846,147
37847,147
37848,147
37849,147
37850,147
37851,147
38847,151
38848,151
38849,151
38850,151
38851,151
38852,151
38871,151
38872,151
38873,151
38874,151
38875,151
38876,151
38895,151
38896,151
38897,151
38898,151
38899,151
38900,151
38908,151
38909,151
38910,151
38911,151
38912,151
38913,151
38914,151
40163,156
40164,156
40165,156
40166,156
40167,156
40168,156
40169,156
40177,156
40178,156
40179,156
40180,156
40181,156
40182,156
40183,156
40184,156
40192,156
40193,156
40194,156
40195,156
40196,156
40197,156
41334,161
41335,161
41336,161
41337,161
41338,161
41339,161
41358,161
41359,161
41360,161
41361,161
41362,161
41363,161
41376,161
41377,161
41378,161
41379,161
41380,161
41381,161
41388,161
41389,161
41390,161
41391,161
41392,161
41393,161
42911,167
42912,167
42913,167
42914,167
42915,167
42916,167
42917,167
42918,167
42926,167
42927,167
42928,167
42929,167
42930,167
42931,167
42938,167
42939,167
42940,167
42941,167
42942,167
42943,167
42950,167
42951,167
42952,167
42953,167
42954,167
42955,167
43889,171
43890,171
43891,171
43892,171
43893,171
43894,171
43901,171
43902,171
43903,171
43904,171
43905,171
43906,171
44556,174
44557,174
44558,174
44559,174
44560,174
44561,174
44568,174
44569,174
44570,174
44571,174
44572,174
44573,174
44580,174
44581,174
44582,174
44583,174
44584,174
44585,174
47747,186
47748,186
47749,186
47750,186
47751,186
47752,186
47759,186
47760,186
47761,186
47762,186
47763,186
47764,186
47771,186
47772,186
47773,186
47774,186
47775,186
47776,186
47808,186
47809,186
47810,186
47811,186
47812,186
47813,186
49867,194
49868,194
49869,194
49870,194
49871,194
49872,194
49879,194
49880,194
49881,194
49882,194
49883,194
49884,194
49904,194
49905,194
49906,194
49907,194
49908,194
49909,194
49916,194
49917,194
49918,194
49919,194
49920,194
49921,194
50934,198
50935,198
50936,198
50937,198
50938,198
50939,198
50946,198
50947,198
50948,198
50949,198
50950,198
50951,198
50995,198
50996,198
50997,198
50998,198
50999,198
51000,198
51001,198
52660,205
52661,205
52662,205
52663,205
52664,205
52665,205
52678,205
52679,205
52680,205
52681,205
52682,205
52683,205
52690,205
52691,205
52692,205
52693,205
52694,205
52695,205
53466,208
53467,208
53468,208
53469,208
53470,208
53471,208
53498,208
53499,208
53500,208
53501,208
53502,208
53503,208
53510,208
53511,208
53512,208
53513,208
53514,208
53515,208
53522,208
53523,208
53524,208
53525,208
53526,208
53527,208
55401,215
55402,215
55403,215
55404,215
55405,215
55406,215
55474,215
55475,215
55476,215
56335,219
56336,219
56337,219
56338,219
56339,219
56340,219
56347,219
56348,219
56349,219
56350,219
56351,219
56352,219
56359,219
56360,219
56361,219
56362,219
56363,219
56364,219
56398,219
56399,219
56400,219
56401,219
56402,219
56403,219
57991,225
57992,225
57993,225
57994,225
57995,225
57996,225
58009,225
58010,225
58011,225
58012,225
58013,225
58014,225
58034,225
58035,225
58036,225
58037,225
58038,225
58039,225
58046,225
58047,225
58048,225
58049,225
58050,225
58051,225
60243,234
60244,234
60245,234
60246,234
60247,234
60248,234
60255,234
60256,234
60257,234
60258,234
60259,234
60260,234
60291,234
60292,234
60293,234
60294,234
60295,234
60296,234
60303,234
60304,234
60305,234
60306,234
60307,234
60308,234
60309,234
194738,757
194739,757
194740,757
194741,757
194742,757
194743,757
194750,757
194751,757
194752,757
194753,757
194754,757
194755,757
194762,757
194763,757
194764,757
194765,757
194766,757
194767,757
194774,757
194775,757
194776,757
194777,757
194778,757
194779,757
196070,762
196071,762
196072,762
196073,762
196074,762
196075,762
196076,762
196089,762
196090,762
196091,762
