Index,Match
33609,131
33610,131
33611,131
33612,131
33613,131
33614,131
33615,131
33628,131
33629,131
33630,131
33631,131
33632,131
33633,131
36855,144
36856,144
36857,144
36858,144
36859,144
36860,144
36861,144
36880,144
36881,144
36882,144
36883,144
36884,144
36885,144
36892,144
36893,144
36894,144
36895,144
36896,144
36897,144
36922,144
36923,144
36924,144
36925,144
36926,144
36927,144
37922,148
37923,148
37924,148
37925,148
37926,148
37927,148
37928,148
37935,148
37936,148
37937,148
37938,148
37939,148
37940,148
37972,148
37973,148
37974,148
37975,148
37976,148
37977,148
37978,148
37992,148
37993,148
37994,148
37995,148
37996,148
37997,148
41890,163
41891,163
41892,163
41893,163
41894,163
41895,163
41902,163
41903,163
41904,163
41905,163
41906,163
41907,163
41914,163
41915,163
41916,163
41917,163
41918,163
41919,163
41926,163
41927,163
41928,163
41929,163
41930,163
41931,163
57608,224
57609,224
57610,224
57611,224
57612,224
57613,224
57626,224
57627,224
57628,224
57629,224
57630,224
57631,224
57638,224
57639,224
57640,224
57641,224
57642,224
57643,224
59717,232
59718,232
59719,232
59720,232
59721,232
59722,232
59729,232
59730,232
59731,232
59732,232
59733,232
59734,232
59741,232
59742,232
59743,232
59744,232
59745,232
59746,232
59753,232
59754,232
59755,232
59756,232
59757,232
59758,232
