Index,Match
4841,19
4842,19
4843,19
4844,19
4845,19
4846,19
4866,19
4867,19
4868,19
4869,19
4870,19
4871,19
4878,19
4879,19
4880,19
4881,19
4882,19
4883,19
4890,19
4891,19
4892,19
4893,19
4894,19
4895,19
11813,47
11814,47
11815,47
11816,47
11817,47
11818,47
11826,47
11827,47
11828,47
11829,47
11830,47
11831,47
11838,47
11839,47
11840,47
11841,47
11842,47
11843,47
11850,47
11851,47
11852,47
11853,47
11854,47
11855,47
13157,52
13158,52
13159,52
13160,52
13161,52
13162,52
13169,52
13170,52
13171,52
13172,52
13173,52
13174,52
13182,52
13183,52
13184,52
13185,52
13186,52
13187,52
20817,82
20818,82
20819,82
20820,82
20821,82
20822,82
20829,82
20830,82
20831,82
20832,82
20833,82
20834,82
20853,82
20854,82
20855,82
20856,82
20857,82
20858,82
21344,84
21345,84
21346,84
21347,84
21348,84
21349,84
21356,84
21357,84
21358,84
21359,84
21360,84
21361,84
33314,130
33315,130
33316,130
33317,130
33318,130
33319,130
33326,130
33327,130
33328,130
33329,130
33330,130
33331,130
33338,130
33339,130
33340,130
33341,130
33342,130
33343,130
33350,130
33351,130
33352,130
33353,130
33354,130
33355,130
34531,135
34532,135
34533,135
34534,135
34535,135
34536,135
34543,135
34544,135
34545,135
34546,135
34547,135
34548,135
34555,135
34556,135
34557,135
34558,135
34559,135
34560,135
34579,135
34580,135
34581,135
34582,135
34583,135
34584,135
35334,138
35335,138
35336,138
35337,138
35338,138
35339,138
35346,138
35347,138
35348,138
35349,138
35350,138
35351,138
35358,138
35359,138
35360,138
35361,138
35362,138
35363,138
35370,138
35371,138
35372,138
35373,138
35374,138
35375,138
36217,141
36218,141
36219,141
36220,141
36221,141
36222,141
36229,141
36230,141
36231,141
36232,141
36233,141
36234,141
36259,141
36260,141
36261,141
36262,141
36263,141
36264,141
36301,141
36302,141
36303,141
36304,141
36305,141
43061,167
43062,167
43063,167
43064,167
43065,167
43066,167
43073,167
43074,167
43075,167
43076,167
43077,167
43078,167
43085,167
43086,167
43087,167
43088,167
43089,167
43090,167
43474,170
43475,170
43476,170
43477,170
43478,170
43479,170
43498,170
43499,170
43500,170
43501,170
43502,170
43503,170
43510,170
43511,170
43512,170
43513,170
43514,170
43515,170
43534,170
43535,170
43536,170
43537,170
43538,170
43539,170
44392,173
44393,173
44394,173
44395,173
44396,173
44397,173
44404,173
44405,173
44406,173
44407,173
44408,173
44409,173
44473,173
44474,173
45386,177
45387,177
45388,177
45389,177
45390,177
45391,177
45398,177
45399,177
45400,177
45401,177
45402,177
45403,177
45449,177
45450,177
45451,177
45452,177
45453,177
45454,177
45473,177
45474,177
45475,177
45476,177
45477,177
45478,177
60116,233
60117,233
60118,233
60119,233
60120,233
60121,233
60128,233
60129,233
60130,233
60131,233
60132,233
60133,233
60140,233
60141,233
60142,233
60143,233
60144,233
60145,233
60146,233
60153,233
60154,233
60155,233
60156,233
60157,233
60158,233
60159,233
