Index,Match
4590,18
4591,18
4592,18
4593,18
4594,18
4595,18
4603,18
4604,18
4605,18
4606,18
4607,18
4608,18
4609,18
4616,18
4617,18
4618,18
4619,18
4620,18
4621,18
4622,18
8912,35
8913,35
8914,35
8915,35
8916,35
8917,35
8943,35
8944,35
8945,35
8946,35
8947,35
8948,35
8949,35
9807,39
9808,39
9809,39
9810,39
9811,39
9812,39
9843,39
9844,39
9845,39
9846,39
9847,39
9848,39
9855,39
9856,39
9857,39
9858,39
9859,39
9860,39
9868,39
9869,39
9870,39
9871,39
9872,39
9873,39
9874,39
10313,41
10314,41
10315,41
10316,41
10317,41
10318,41
10331,41
10332,41
10333,41
10334,41
10335,41
10336,41
10375,41
10376,41
10377,41
10378,41
10379,41
10380,41
11119,44
11120,44
11121,44
11122,44
11123,44
11124,44
11131,44
11132,44
11133,44
11134,44
11135,44
11136,44
12338,49
12339,49
12340,49
12341,49
12342,49
12343,49
12344,49
12345,49
12352,49
12353,49
12354,49
12355,49
12356,49
12357,49
12414,49
12415,49
12416,49
12417,49
12418,49
12419,49
12444,49
12445,49
12446,49
12447,49
12448,49
12449,49
13001,51
13002,51
13003,51
13004,51
13005,51
13006,51
13025,51
13026,51
13027,51
13028,51
13029,51
13030,51
13031,51
13087,51
13088,51
13089,51
13090,51
13091,51
13092,51
13093,51
13106,51
13107,51
13108,51
13109,51
13110,51
13111,51
13855,55
13856,55
13857,55
13858,55
13859,55
13860,55
13867,55
13868,55
13869,55
13870,55
13871,55
13872,55
13879,55
13880,55
13881,55
13882,55
13883,55
13884,55
13952,55
13953,55
13954,55
13955,55
13956,55
13957,55
13958,55
15455,61
15456,61
15457,61
15458,61
15459,61
15460,61
15497,61
15498,61
15499,61
15500,61
15501,61
15502,61
16395,65
16396,65
16397,65
16398,65
16399,65
16400,65
16431,65
16432,65
16433,65
16434,65
16435,65
16436,65
16443,65
16444,65
16445,65
16446,65
16447,65
16448,65
16462,65
16463,65
16464,65
16465,65
16466,65
16467,65
17073,68
17074,68
17075,68
17076,68
17077,68
17078,68
17135,68
17136,68
17137,68
17138,68
17139,68
17140,68
17147,68
17148,68
17149,68
17150,68
17151,68
17152,68
17160,68
17161,68
17162,68
17163,68
17164,68
17165,68
18176,72
18177,72
18178,72
18179,72
18180,72
18181,72
18182,72
18189,72
18190,72
18191,72
18192,72
18193,72
18194,72
18201,72
18202,72
18203,72
18204,72
18205,72
18206,72
18213,72
18214,72
18215,72
18216,72
18217,72
18218,72
31448,123
31449,123
31450,123
31451,123
31452,123
31453,123
31460,123
31461,123
31462,123
31463,123
31464,123
31465,123
31529,123
31530,123
31531,123
31532,123
31533,123
31534,123
31548,123
31549,123
31550,123
31551,123
31552,123
31553,123
31845,125
31846,125
31847,125
31848,125
31849,125
31850,125
31857,125
31858,125
31859,125
31860,125
31861,125
31862,125
31944,125
31945,125
31946,125
31947,125
31948,125
31949,125
31950,125
31957,125
31958,125
31959,125
31960,125
31961,125
31962,125
32651,128
32652,128
32653,128
32654,128
32655,128
32656,128
32699,128
32700,128
32701,128
32702,128
32703,128
32704,128
32717,128
32718,128
32719,128
32720,128
32721,128
32722,128
