Index,Match
5358,21
5359,21
5360,21
5361,21
5362,21
5363,21
5376,21
5377,21
5378,21
5379,21
5380,21
5381,21
5388,21
5389,21
5390,21
5391,21
5392,21
5393,21
5431,21
5432,21
5433,21
5434,21
5435,21
5436,21
6411,25
6412,25
6413,25
6414,25
6415,25
6416,25
6459,25
6460,25
6461,25
6462,25
6463,25
6464,25
6477,25
6478,25
6479,25
6480,25
6481,25
6482,25
6489,25
6490,25
6491,25
6492,25
6493,25
6494,25
9112,36
9113,36
9114,36
9115,36
9116,36
9117,36
9124,36
9125,36
9126,36
9127,36
9128,36
9129,36
9179,36
9180,36
9181,36
9182,36
9183,36
9184,36
9210,36
9211,36
9212,36
9213,36
9214,36
9215,36
9906,39
9907,39
9908,39
9909,39
9910,39
9911,39
9924,39
9925,39
9926,39
9927,39
9928,39
9929,39
9968,39
9969,39
9970,39
9971,39
9972,39
9973,39
9998,39
9999,39
10000,39
10001,39
10002,39
10003,39
11819,47
11820,47
11821,47
11822,47
11823,47
11824,47
11825,47
11862,47
11863,47
11864,47
11865,47
11866,47
11867,47
11868,47
11899,47
11900,47
11901,47
11902,47
11903,47
11904,47
11905,47
13145,52
13146,52
13147,52
13148,52
13149,52
13150,52
13163,52
13164,52
13165,52
13166,52
13167,52
13168,52
13212,52
13213,52
13214,52
13215,52
13216,52
13217,52
13236,52
13237,52
13238,52
13239,52
13240,52
13241,52
18374,73
18375,73
18376,73
18377,73
18378,73
18379,73
18380,73
18387,73
18388,73
18389,73
18390,73
18391,73
18392,73
18423,73
18424,73
18425,73
18426,73
18427,73
18428,73
18429,73
18455,73
18456,73
18457,73
18458,73
18459,73
18460,73
19672,78
19673,78
19674,78
19675,78
19676,78
19677,78
19708,78
19709,78
19710,78
19711,78
19712,78
19713,78
19720,78
19721,78
19722,78
19723,78
19724,78
19725,78
19726,78
19739,78
19740,78
19741,78
19742,78
19743,78
19744,78
19745,78
21092,83
21093,83
21094,83
21095,83
21096,83
21097,83
21098,83
21156,83
21157,83
21158,83
21159,83
21160,83
21161,83
21169,83
21170,83
21171,83
21172,83
21173,83
21174,83
21182,83
21183,83
21184,83
21185,83
21186,83
21187,83
21188,83
21189,83
21190,83
22429,88
22430,88
22431,88
22432,88
22433,88
22434,88
22435,88
22442,88
22443,88
22444,88
22445,88
22446,88
22447,88
22448,88
22492,88
22493,88
22494,88
22495,88
22496,88
22497,88
22498,88
22499,88
22506,88
22507,88
22508,88
22509,88
22510,88
22511,88
22953,90
22954,90
22955,90
22956,90
22957,90
22958,90
22959,90
22974,90
22975,90
22976,90
22977,90
22978,90
22979,90
22980,90
23031,90
23032,90
23033,90
23034,90
23035,90
23036,90
23037,90
23044,90
23045,90
23046,90
23047,90
23048,90
23049,90
23955,94
23956,94
23957,94
23958,94
23959,94
23960,94
23973,94
23974,94
23975,94
23976,94
23977,94
23978,94
24871,98
24872,98
24873,98
24874,98
24875,98
24876,98
24915,98
24916,98
24917,98
24918,98
24919,98
24920,98
24921,98
24941,98
24942,98
24943,98
24944,98
24945,98
24946,98
24953,98
24954,98
24955,98
24956,98
24957,98
24958,98
26469,104
26470,104
26471,104
26472,104
26473,104
26474,104
26518,104
26519,104
26520,104
26521,104
26522,104
26523,104
26531,104
26532,104
26533,104
26534,104
26535,104
26536,104
26544,104
26545,104
26546,104
26547,104
26548,104
26549,104
27243,107
27244,107
27245,107
27246,107
27247,107
27248,107
27255,107
27256,107
27257,107
27258,107
27259,107
27260,107
27299,107
27300,107
27301,107
27302,107
27303,107
27304,107
27305,107
28039,110
28040,110
28041,110
28042,110
28043,110
28044,110
28081,110
28082,110
28083,110
28084,110
28085,110
28086,110
28118,110
28119,110
28120,110
28121,110
28122,110
28123,110
28124,110
28132,110
28133,110
28134,110
28135,110
28136,110
28137,110
28466,112
28467,112
28468,112
28469,112
28470,112
28471,112
28487,112
28488,112
28489,112
28490,112
28491,112
28492,112
28517,112
28518,112
28519,112
28520,112
28521,112
28522,112
28536,112
28537,112
28538,112
28539,112
28540,112
28541,112
30734,120
30735,120
30736,120
30737,120
30738,120
30739,120
30747,120
30748,120
30749,120
30750,120
30751,120
30752,120
32138,126
32139,126
32140,126
32141,126
32142,126
32143,126
32181,126
32182,126
32183,126
32184,126
32185,126
32186,126
32219,126
32220,126
32221,126
32222,126
32223,126
32224,126
32232,126
32233,126
32234,126
32235,126
32236,126
32237,126
32238,126
33205,130
33206,130
33207,130
33208,130
33209,130
33210,130
33217,130
33218,130
33219,130
33220,130
33221,130
33222,130
33290,130
33291,130
33292,130
33293,130
33294,130
33295,130
33302,130
33303,130
33304,130
33305,130
33306,130
33307,130
34134,133
34135,133
34136,133
34137,133
34138,133
34139,133
34146,133
34147,133
34148,133
34149,133
34150,133
34151,133
34208,133
34209,133
34210,133
34211,133
34212,133
34213,133
34214,133
34222,133
34223,133
34224,133
34225,133
34226,133
34227,133
34943,136
34944,136
34945,136
34946,136
34947,136
34948,136
34955,136
34956,136
34957,136
34958,136
34959,136
34960,136
34961,136
35011,136
35012,136
35013,136
35014,136
35738,139
35739,139
35740,139
35741,139
35742,139
35743,139
35808,139
35809,139
35810,139
35811,139
35812,139
37666,147
37667,147
37668,147
37669,147
37670,147
37671,147
37710,147
37711,147
37712,147
