Index,Match
15337,61
15338,61
15339,61
15340,61
15341,61
15342,61
15349,61
15350,61
15351,61
15352,61
15353,61
15354,61
15355,61
15406,61
15407,61
15408,61
15409,61
15410,61
15411,61
15430,61
15431,61
15432,61
15433,61
15434,61
15435,61
16921,67
16922,67
16923,67
16924,67
16925,67
16926,67
16933,67
16934,67
16935,67
16936,67
16937,67
16938,67
16945,67
16946,67
16947,67
16948,67
16949,67
16950,67
17006,67
17007,67
17008,67
17009,67
17010,67
17011,67
17999,71
18000,71
18001,71
18002,71
18003,71
18004,71
18026,71
18027,71
18028,71
18029,71
18030,71
18031,71
18038,71
18039,71
18040,71
18041,71
18042,71
18043,71
19046,75
19047,75
19048,75
19049,75
19050,75
19051,75
19058,75
19059,75
19060,75
19061,75
19062,75
19063,75
19070,75
19071,75
19072,75
19073,75
19074,75
19075,75
19096,75
19097,75
19098,75
19099,75
19100,75
19101,75
19102,75
19424,77
19425,77
19426,77
19427,77
19428,77
19429,77
19436,77
19437,77
19438,77
19439,77
19440,77
19441,77
19442,77
19474,77
19475,77
19476,77
19477,77
19478,77
19479,77
19498,77
19499,77
19500,77
19501,77
19502,77
19503,77
20598,81
20599,81
20600,81
20601,81
20602,81
20603,81
20610,81
20611,81
20612,81
20613,81
20614,81
20615,81
20637,81
20638,81
20639,81
20640,81
20641,81
20642,81
20668,81
20669,81
20670,81
20671,81
20672,81
20673,81
21271,84
21272,84
21273,84
21274,84
21275,84
21276,84
21283,84
21284,84
21285,84
21286,84
21287,84
21288,84
21295,84
21296,84
21297,84
21298,84
21299,84
21300,84
21301,84
21308,84
21309,84
21310,84
21311,84
21312,84
21313,84
23692,93
23693,93
23694,93
23695,93
23696,93
23697,93
23698,93
23735,93
23736,93
23737,93
23738,93
23739,93
23740,93
23747,93
23748,93
23749,93
23750,93
23751,93
23752,93
23760,93
23761,93
23762,93
23763,93
23764,93
23765,93
24595,97
24596,97
24597,97
24598,97
24599,97
24600,97
24607,97
24608,97
24609,97
24610,97
24611,97
24612,97
24655,97
24656,97
24657,97
24658,97
24659,97
24660,97
24667,97
24668,97
24669,97
24670,97
24671,97
24672,97
24673,97
25163,99
25164,99
25165,99
25166,99
25167,99
25168,99
25181,99
25182,99
25183,99
25184,99
25185,99
25186,99
25193,99
25194,99
25195,99
25196,99
25197,99
25198,99
25205,99
25206,99
25207,99
25208,99
25209,99
25210,99
26159,103
26160,103
26161,103
26162,103
26163,103
26164,103
26171,103
26172,103
26245,103
26246,103
26247,103
26248,103
26249,103
26250,103
31442,123
31443,123
31444,123
31445,123
31446,123
31447,123
31454,123
31455,123
31456,123
31457,123
31458,123
31459,123
31502,123
31503,123
31504,123
31505,123
31506,123
31507,123
31541,123
31542,123
31543,123
31544,123
31545,123
31546,123
31547,123
33885,132
33886,132
33887,132
33888,132
33889,132
33890,132
33891,132
33898,132
33899,132
33900,132
33901,132
33902,132
33903,132
33910,132
33911,132
33912,132
33913,132
33914,132
33915,132
33934,132
33935,132
33936,132
33937,132
33938,132
33939,132
36071,141
36072,141
36073,141
36074,141
36075,141
36076,141
36077,141
36078,141
36109,141
36110,141
36111,141
36112,141
36113,141
36114,141
36139,141
36140,141
36141,141
36142,141
36143,141
36144,141
36157,141
36158,141
36159,141
36160,141
36161,141
36162,141
38813,151
38814,151
38815,151
38816,151
38817,151
38818,151
38826,151
38827,151
38828,151
38829,151
38830,151
38831,151
38832,151
38833,151
38841,151
38842,151
38843,151
38844,151
38845,151
38846,151
42879,167
42880,167
42881,167
42882,167
42883,167
42884,167
42892,167
42893,167
42894,167
42895,167
42896,167
42897,167
42898,167
42956,167
42957,167
42958,167
42959,167
42960,167
42961,167
42980,167
42981,167
42982,167
42983,167
42984,167
42985,167
42986,167
42987,167
54214,211
54215,211
54216,211
54217,211
54218,211
54219,211
54220,211
54233,211
54234,211
54235,211
54236,211
54237,211
54238,211
54245,211
54246,211
54247,211
54248,211
54249,211
54250,211
54257,211
54258,211
54259,211
54260,211
54261,211
54262,211
59177,230
59178,230
59179,230
59180,230
59181,230
59182,230
59202,230
59203,230
59204,230
59205,230
59206,230
59207,230
59220,230
59221,230
59222,230
59223,230
59224,230
59225,230
59253,230
59254,230
59255,230
59256,230
59257,230
59258,230
