Index,Match
4426,18
4427,18
4428,18
4429,18
4430,18
4431,18
4462,18
4463,18
4464,18
4465,18
4466,18
4467,18
4510,18
4511,18
4512,18
4513,18
4514,18
4515,18
4535,18
4536,18
4537,18
4538,18
4539,18
4540,18
4541,18
5878,23
5879,23
5880,23
5881,23
5882,23
5883,23
5884,23
5903,23
5904,23
5905,23
5906,23
5907,23
5908,23
5957,23
5958,23
5959,23
5960,23
5961,23
5962,23
5969,23
5970,23
6914,27
6915,27
6916,27
6917,27
6918,27
6919,27
6920,27
6927,27
6928,27
6929,27
6930,27
6931,27
6932,27
6933,27
6934,27
6941,27
6942,27
6943,27
6944,27
6945,27
6946,27
7752,31
7753,31
7754,31
7755,31
7756,31
7757,31
7764,31
7765,31
7766,31
7767,31
7768,31
7769,31
7844,31
7845,31
7846,31
7847,31
7848,31
7849,31
7868,31
7869,31
7870,31
7871,31
7872,31
7873,31
8981,36
8982,36
8983,36
8984,36
8985,36
8986,36
9032,36
9033,36
9034,36
9035,36
9036,36
9037,36
9038,36
9087,36
9088,36
9089,36
9090,36
9091,36
9092,36
9100,36
9101,36
9102,36
9103,36
9104,36
9105,36
10157,40
10158,40
10159,40
10160,40
10161,40
10162,40
10169,40
10170,40
10171,40
10172,40
10173,40
10174,40
10175,40
10188,40
10189,40
10190,40
10191,40
10192,40
10193,40
10194,40
14431,57
14432,57
14433,57
14434,57
14435,57
14436,57
14443,57
14444,57
14445,57
14446,57
14447,57
14448,57
14455,57
14456,57
14457,57
14458,57
14459,57
14460,57
14498,57
14499,57
14500,57
14501,57
14502,57
14503,57
14700,58
14701,58
14702,58
14703,58
14704,58
14705,58
14724,58
14725,58
14726,58
14727,58
14728,58
14729,58
14754,58
14755,58
14756,58
14757,58
14758,58
14759,58
46940,183
46941,183
46942,183
46943,183
46944,183
46945,183
46964,183
46965,183
46966,183
46967,183
46968,183
46969,183
46970,183
47021,183
47022,183
47023,183
47024,183
47025,183
47026,183
47033,183
47034,183
47035,183
47036,183
47037,183
47038,183
52751,205
52752,205
52753,205
52754,205
52755,205
52756,205
52777,205
52778,205
52779,205
52780,205
52781,205
52782,205
52826,205
52827,205
52828,205
52829,205
52830,205
52831,205
52838,205
52839,205
52840,205
52841,205
52842,205
52843,205
53724,209
53725,209
53726,209
53727,209
53728,209
53729,209
53730,209
53737,209
53738,209
53739,209
53740,209
53741,209
53742,209
53767,209
53768,209
53769,209
53770,209
53771,209
53772,209
53785,209
53786,209
53787,209
53788,209
53789,209
53790,209
53791,209
53792,209
54988,214
54989,214
54990,214
54991,214
54992,214
54993,214
54994,214
54995,214
54996,214
55015,214
55016,214
55017,214
55018,214
55019,214
55020,214
55058,214
55059,214
55060,214
55061,214
55062,214
55063,214
55100,214
55101,214
55102,214
55103,214
55104,214
55105,214
57404,223
57405,223
57406,223
57407,223
57408,223
57409,223
57441,223
57442,223
57443,223
57444,223
57445,223
57446,223
60900,236
60901,236
60902,236
60903,236
60904,236
60905,236
60948,236
60949,236
60950,236
60951,236
60952,236
60953,236
60966,236
60967,236
60968,236
60969,236
60970,236
60971,236
60978,236
60979,236
60980,236
60981,236
60982,236
60983,236
60984,236
61578,239
61579,239
61580,239
61581,239
61582,239
61583,239
61621,239
61622,239
61623,239
61624,239
61625,239
61626,239
61634,239
61635,239
61636,239
61637,239
61638,239
61639,239
61640,239
61665,239
61666,239
61667,239
61668,239
61669,239
61670,239
162368,630
162369,630
162370,630
162371,630
162372,630
162373,630
162380,630
162381,630
162382,630
162383,630
162384,630
162385,630
162392,630
162393,630
162394,630
162395,630
162396,630
162397,630
162398,630
162454,630
162455,630
162456,630
162457,630
162458,630
162459,630
165640,643
165641,643
165642,643
165643,643
165644,643
165645,643
165654,643
165655,643
165656,643
165657,643
165658,643
165659,643
165740,643
165741,643
165742,643
165743,643
165744,643
165745,643
165752,643
165753,643
165754,643
165755,643
165756,643
165757,643
165758,643
165759,643
180109,699
180110,699
180111,699
180112,699
180113,699
180114,699
180115,699
180122,699
180123,699
180124,699
180125,699
180126,699
180127,699
180208,699
180209,699
180210,699
180211,699
180212,699
180213,699
180220,699
180221,699
180222,699
180223,699
180224,699
180225,699
181309,703
181310,703
181311,703
181312,703
181313,703
181314,703
181321,703
181322,703
181323,703
181324,703
181325,703
181326,703
181333,703
181334,703
181335,703
181336,703
181337,703
181338,703
181409,703
181410,703
181411,703
181412,703
181413,703
181414,703
181415,703
182499,708
