Index,Match
676,3
677,3
678,3
679,3
680,3
681,3
753,3
754,3
755,3
756,3
757,3
758,3
1453,6
1454,6
1455,6
1456,6
1457,6
1458,6
1465,6
1466,6
1467,6
1468,6
1469,6
1470,6
3091,13
3092,13
3093,13
3094,13
3095,13
3096,13
3097,13
3098,13
3105,13
3106,13
3107,13
3108,13
3109,13
3110,13
3117,13
3118,13
3119,13
3120,13
3121,13
3122,13
3202,13
3203,13
3204,13
3205,13
3206,13
3207,13
3208,13
4011,16
4012,16
4013,16
4014,16
4015,16
4016,16
4017,16
4025,16
4026,16
4027,16
4028,16
4029,16
4030,16
4031,16
4032,16
4033,16
4034,16
4133,16
4134,16
4135,16
5739,23
5740,23
5741,23
5742,23
5743,23
5744,23
5848,23
5849,23
5850,23
5851,23
5852,23
5853,23
13257,52
13258,52
13259,52
13260,52
13261,52
13262,52
13263,52
13270,52
13271,52
13272,52
13273,52
13274,52
13275,52
13282,52
13283,52
13284,52
13285,52
13286,52
13287,52
13354,52
13355,52
13356,52
13357,52
13358,52
13359,52
61803,240
61804,240
61805,240
61806,240
61807,240
61808,240
61809,240
61816,240
61817,240
61818,240
61819,240
61820,240
61821,240
61829,240
61830,240
61831,240
61832,240
61833,240
61834,240
61921,240
61922,240
61923,240
61924,240
61925,240
61926,240
62554,243
62555,243
62556,243
62557,243
62558,243
62559,243
62566,243
62567,243
62568,243
62569,243
62570,243
62571,243
62572,243
62640,243
62641,243
62642,243
62643,243
62644,243
62645,243
62665,243
62666,243
62667,243
62668,243
62669,243
62670,243
64503,250
64504,250
64505,250
64506,250
64507,250
64508,250
64515,250
64516,250
64517,250
64518,250
64519,250
64520,250
64583,250
64584,250
64585,250
64586,250
64587,250
64588,250
65396,254
65397,254
65398,254
65399,254
65400,254
65401,254
65408,254
65409,254
65410,254
65411,254
65412,254
65413,254
65438,254
65439,254
65440,254
65441,254
65442,254
65443,254
65474,254
65475,254
65476,254
65477,254
65478,254
65479,254
65931,256
65932,256
65933,256
65934,256
65935,256
65936,256
65943,256
65944,256
65945,256
65946,256
65947,256
65948,256
65991,256
65992,256
65993,256
65994,256
65995,256
65996,256
66016,256
66017,256
66018,256
66019,256
66020,256
66021,256
68117,264
68118,264
68119,264
68120,264
68121,264
68122,264
68141,264
68142,264
68143,264
68144,264
68145,264
68146,264
68153,264
68154,264
68155,264
68156,264
68157,264
68158,264
68166,264
68167,264
68168,264
68169,264
68170,264
68171,264
68999,268
69000,268
69001,268
69002,268
69003,268
69004,268
69029,268
69030,268
69031,268
69032,268
69033,268
69034,268
69065,268
69066,268
69067,268
69068,268
69069,268
69070,268
69559,270
69560,270
69561,270
69562,270
69563,270
69564,270
69572,270
69573,270
69574,270
69575,270
69576,270
69577,270
69578,270
69579,270
70613,274
70614,274
70615,274
70616,274
70617,274
70618,274
70625,274
70626,274
70627,274
70628,274
70629,274
70630,274
70693,274
70694,274
70695,274
70696,274
72053,281
72054,281
72055,281
72056,281
72057,281
72058,281
72059,281
72066,281
72067,281
72068,281
72069,281
72070,281
72071,281
72072,281
72079,281
72080,281
72081,281
72082,281
72083,281
72084,281
72167,281
72168,281
72169,281
72170,281
72171,281
72172,281
72936,284
72937,284
72938,284
72939,284
72940,284
72941,284
72948,284
72949,284
72950,284
72951,284
72952,284
72953,284
73682,287
73683,287
73684,287
73685,287
73686,287
73687,287
73696,287
73697,287
73698,287
73699,287
73700,287
73701,287
73781,287
73782,287
73783,287
73784,287
73785,287
73786,287
73787,287
73795,287
73796,287
73797,287
73798,287
73799,287
73800,287
74770,291
74771,291
74772,291
74773,291
74774,291
74775,291
74782,291
74783,291
74784,291
74785,291
74786,291
74787,291
74813,291
74814,291
74815,291
74816,291
74817,291
74818,291
74843,291
74844,291
74845,291
74846,291
74847,291
74848,291
76821,299
76822,299
76823,299
76824,299
76825,299
76826,299
76827,299
76836,299
76837,299
76838,299
76839,299
76840,299
76841,299
76842,299
76850,299
76851,299
76852,299
76853,299
76854,299
76855,299
76856,299
77291,302
77292,302
77293,302
77294,302
77295,302
77296,302
77304,302
77305,302
77306,302
77307,302
77308,302
77309,302
77384,302
77385,302
77386,302
77387,302
77388,302
77389,302
77402,302
77403,302
77404,302
77405,302
77406,302
77407,302
77740,304
77741,304
77742,304
77743,304
77744,304
77745,304
77758,304
77759,304
77760,304
77761,304
77762,304
