Index,Match
1301,5
1302,5
1303,5
1304,5
1305,5
1306,5
2034,8
2035,8
2036,8
2037,8
2038,8
2039,8
3033,12
3034,12
3035,12
3036,12
3037,12
3038,12
3045,12
3046,12
3047,12
3048,12
3049,12
3050,12
3051,12
3052,12
4193,17
4194,17
4195,17
4196,17
4197,17
4198,17
4199,17
4206,17
4207,17
4208,17
4209,17
4210,17
4211,17
4218,17
4219,17
4220,17
4221,17
4222,17
4223,17
5083,20
5084,20
5085,20
5086,20
5087,20
5088,20
5108,20
5109,20
5110,20
5111,20
5112,20
5113,20
5141,20
5142,20
5143,20
5144,20
5145,20
5146,20
5147,20
5154,20
5155,20
5156,20
5157,20
5158,20
5159,20
6868,27
6869,27
6870,27
6871,27
6872,27
6873,27
6880,27
6881,27
6882,27
6883,27
6884,27
6885,27
6898,27
6899,27
6900,27
6901,27
6902,27
6903,27
6904,27
7708,30
7709,30
7710,30
7711,30
7712,30
7713,30
7720,30
7721,30
7722,30
7723,30
7724,30
7725,30
7726,30
8293,33
8294,33
8295,33
8296,33
8297,33
8298,33
8305,33
8306,33
8307,33
8308,33
8309,33
8310,33
8317,33
8318,33
8319,33
8320,33
8321,33
8322,33
8341,33
8342,33
8343,33
8344,33
8345,33
8346,33
8347,33
9413,37
9414,37
9415,37
9416,37
9417,37
9418,37
9425,37
9426,37
9427,37
9428,37
9429,37
9430,37
9437,37
9438,37
9439,37
9440,37
9441,37
9442,37
9449,37
9450,37
9451,37
9452,37
9453,37
9454,37
10585,42
10586,42
10587,42
10588,42
10589,42
10590,42
10597,42
10598,42
10599,42
10600,42
10601,42
10602,42
10621,42
10622,42
10623,42
10624,42
10625,42
10626,42
11472,45
11473,45
11474,45
11475,45
11476,45
11477,45
11490,45
11491,45
11492,45
11493,45
11494,45
11495,45
11508,45
11509,45
11510,45
11511,45
11512,45
11513,45
11521,45
14079,55
14080,55
14081,55
14082,55
14083,55
14084,55
14091,55
14092,55
14093,55
14094,55
14095,55
14096,55
17657,70
17658,70
17659,70
17660,70
17661,70
17662,70
21068,83
21069,83
21070,83
21071,83
21072,83
21073,83
21124,83
21125,83
21126,83
21127,83
21128,83
21129,83
21150,83
21151,83
21152,83
21153,83
21154,83
21155,83
34962,136
34963,136
34964,136
34965,136
34966,136
34967,136
34974,136
34975,136
34976,136
34977,136
34978,136
34979,136
34992,136
34993,136
34994,136
34995,136
34996,136
34997,136
35026,136
35732,139
35733,139
35734,139
35735,139
35736,139
35737,139
35744,139
35745,139
35746,139
35747,139
35748,139
35749,139
35756,139
35757,139
35758,139
35759,139
35760,139
35761,139
35762,139
38583,150
38584,150
38585,150
38586,150
38587,150
38588,150
38595,150
38596,150
38597,150
38598,150
38599,150
38600,150
38631,150
38632,150
38633,150
38634,150
38635,150
38636,150
38637,150
38658,150
38659,150
38660,150
38661,150
38662,150
38663,150
38664,150
40670,158
40671,158
40672,158
40673,158
40674,158
40675,158
133412,519
133413,519
133414,519
133415,519
133416,519
133417,519
133424,519
133425,519
133426,519
133427,519
133428,519
133429,519
133436,519
133437,519
133438,519
133439,519
133440,519
133441,519
133466,519
133467,519
133468,519
133469,519
133470,519
133471,519
136047,529
136048,529
136049,529
136050,529
136051,529
136052,529
136053,529
136060,529
136061,529
136062,529
136063,529
136064,529
136065,529
136072,529
136073,529
136074,529
136075,529
136076,529
136077,529
136084,529
136085,529
136086,529
136087,529
136088,529
136089,529
141275,549
141276,549
141277,549
141278,549
141279,549
141280,549
141299,549
141300,549
141301,549
141302,549
141303,549
141304,549
141311,549
141312,549
141313,549
141314,549
141315,549
141316,549
142052,552
142053,552
142054,552
142055,552
142056,552
142057,552
142070,552
142071,552
142072,552
142073,552
142074,552
142075,552
142094,552
142095,552
142096,552
142097,552
142098,552
142099,552
143628,558
143629,558
143630,558
143631,558
143632,558
143633,558
143640,558
143641,558
143642,558
143643,558
143644,558
143645,558
143652,558
143653,558
143654,558
143655,558
143656,558
143657,558
143664,558
143665,558
143666,558
143667,558
143668,558
143669,558
144167,560
144168,560
144169,560
144170,560
144171,560
144172,560
144179,560
144180,560
144181,560
144182,560
144183,560
144184,560
144191,560
144192,560
144193,560
144194,560
144195,560
144196,560
144203,560
144204,560
144205,560
144206,560
144207,560
144208,560
158089,613
158090,613
158091,613
158092,613
158093,613
158094,613
158095,613
158102,613
158103,613
158104,613
158105,613
158106,613
158107,613
158108,613
158115,613
158116,613
158117,613
158118,613
158119,613
158120,613
158146,613
158147,613
158148,613
158149,613
158150,613
158151,613
165015,640
165016,640
165017,640
165018,640
165019,640
165020,640
165027,640
165028,640
165029,640
165030,640
165031,640
165032,640
165051,640
165052,640
165053,640
165054,640
165055,640
165056,640
165057,640
177238,687
177239,687
177240,687
177241,687
177242,687
177243,687
177250,687
177251,687
177252,687
177253,687
177254,687
177255,687
177262,687
177263,687
177264,687
177265,687
177266,687
177267,687
177286,687
177287,687
177288,687
177289,687
177290,687
177291,687
182394,707
182395,707
182396,707
182397,707
182398,707
182399,707
182400,707
182407,707
182408,707
182409,707
182410,707
182411,707
182412,707
182420,707
182421,707
182422,707
182423,707
182424,707
182425,707
182432,707
182433,707
182434,707
182435,707
182436,707
182437,707
188282,731
188283,731
188284,731
188285,731
188286,731
188287,731
188295,731
188296,731
188297,731
188298,731
188299,731
188300,731
189212,734
189213,734
189214,734
189215,734
189216,734
189217,734
189224,734
189225,734
189226,734
189227,734
189228,734
189229,734
190490,739
190491,739
190492,739
190493,739
190494,739
190495,739
190514,739
190515,739
190516,739
190517,739
190518,739
190519,739
190526,739
190527,739
190528,739
190529,739
190530,739
190531,739
190556,739
190557,739
190558,739
190559,739
190560,739
190561,739
191541,743
191542,743
191543,743
191544,743
191545,743
191546,743
191553,743
191554,743
191555,743
191556,743
191557,743
191558,743
191565,743
191566,743
191567,743
191568,743
191569,743
191570,743
191577,743
191578,743
191579,743
191580,743
191581,743
191582,743
191583,743
192103,745
192104,745
192105,745
192106,745
192107,745
192108,745
192115,745
192116,745
192117,745
192118,745
192119,745
192120,745
192127,745
192128,745
192129,745
192130,745
192131,745
192132,745
192706,749
192707,749
192708,749
192709,749
192710,749
192711,749
192718,749
192719,749
192720,749
192721,749
192722,749
192723,749
192785,749
192786,749
192787,749
192788,749
192789,749
192790,749
192798,749
192799,749
192800,749
192801,749
192802,749
192803,749
192804,749
193652,753
193653,753
193654,753
193655,753
193656,753
193657,753
193664,753
193665,753
193666,753
193667,753
193668,753
193669,753
193688,753
193689,753
193690,753
193691,753
193692,753
193693,753
193700,753
193701,753
193702,753
193703,753
193704,753
193705,753
194228,755
194229,755
194230,755
194231,755
194232,755
194233,755
194444,756
194445,756
194446,756
194447,756
194448,756
194449,756
194456,756
194457,756
194458,756
194459,756
194460,756
194461,756
196179,763
196180,763
196181,763
196182,763
196183,763
196184,763
197224,767
197225,767
197226,767
197227,767
197228,767
197229,767
197236,767
197237,767
197238,767
197239,767
197240,767
197241,767
197248,767
197249,767
197250,767
197251,767
197252,767
197253,767
198865,773
198866,773
198867,773
198868,773
198869,773
198870,773
203101,789
203102,789
203103,789
203104,789
203105,789
203106,789
208823,812
208824,812
208825,812
208826,812
208827,812
208828,812
208835,812
208836,812
208837,812
208838,812
208839,812
208840,812
208871,812
208872,812
208873,812
208874,812
208875,812
208876,812
