Index,Match
195312,759
195313,759
195314,759
195315,759
195316,759
195317,759
195324,759
195325,759
195326,759
195327,759
195328,759
195329,759
195336,759
195337,759
195338,759
195339,759
195340,759
195341,759
195348,759
195349,759
195350,759
195351,759
195352,759
195353,759
196332,763
196333,763
196334,763
196335,763
196336,763
196337,763
196338,763
196345,763
196346,763
196347,763
196348,763
196349,763
196350,763
196377,763
196378,763
196379,763
196961,766
196962,766
196963,766
196964,766
196965,766
196966,766
196967,766
197000,766
197001,766
197002,766
197003,766
197004,766
197005,766
197012,766
197013,766
197014,766
197015,766
197016,766
197017,766
197024,766
197025,766
197026,766
197027,766
197028,766
197029,766
197868,769
197869,769
197870,769
197871,769
197872,769
197873,769
197880,769
197881,769
197882,769
197883,769
197884,769
197885,769
197892,769
197893,769
197894,769
197895,769
197896,769
197897,769
197904,769
197905,769
197906,769
197907,769
197908,769
197909,769
199830,777
199831,777
199832,777
199833,777
199834,777
199835,777
199842,777
199843,777
199844,777
199845,777
199846,777
199847,777
199873,777
199874,777
199875,777
199876,777
199877,777
199878,777
