Index,Match
342,2
343,2
344,2
345,2
346,2
347,2
355,2
356,2
357,2
358,2
359,2
360,2
368,2
369,2
370,2
371,2
372,2
373,2
973,4
974,4
975,4
976,4
977,4
978,4
1001,4
1002,4
1003,4
1004,4
1005,4
1006,4
1007,4
2127,9
2128,9
2129,9
2130,9
2131,9
2132,9
2139,9
2140,9
2141,9
2142,9
2143,9
2144,9
62352,242
62353,242
62354,242
62355,242
62356,242
62357,242
62364,242
62365,242
62366,242
62367,242
62368,242
62369,242
62376,242
62377,242
62378,242
62379,242
62380,242
62381,242
62388,242
62389,242
62390,242
62391,242
62392,242
62393,242
62394,242
63414,246
63415,246
63416,246
63417,246
63418,246
63419,246
63426,246
63427,246
63428,246
63429,246
63430,246
63431,246
63438,246
63439,246
63440,246
63441,246
63442,246
63443,246
63450,246
63451,246
63452,246
63453,246
63454,246
63455,246
65310,253
65311,253
65312,253
65313,253
65314,253
65315,253
65316,253
66083,256
66084,256
66085,256
66086,256
66087,256
66088,256
66811,259
66812,259
66813,259
66814,259
66815,259
66816,259
67549,262
67550,262
67551,262
67552,262
67553,262
67554,262
67561,262
67562,262
67563,262
67564,262
67565,262
67566,262
71648,278
71649,278
71650,278
71651,278
71652,278
71653,278
71660,278
71661,278
71662,278
71663,278
71664,278
71665,278
71672,278
71673,278
71674,278
71675,278
71676,278
71677,278
71684,278
71685,278
71686,278
71687,278
71688,278
71689,278
72020,280
72021,280
72022,280
72023,280
72024,280
72025,280
72844,284
72845,284
72846,284
72847,284
72848,284
72849,284
72856,284
72857,284
72858,284
72859,284
72860,284
72861,284
72869,284
72870,284
72871,284
72872,284
72873,284
72874,284
72905,284
72906,284
72907,284
72908,284
72909,284
72910,284
82366,321
82367,321
82368,321
82369,321
82370,321
82371,321
82378,321
82379,321
82380,321
82381,321
82382,321
82383,321
82391,321
82392,321
82393,321
82394,321
82395,321
82396,321
83653,326
83654,326
83655,326
83656,326
83657,326
83658,326
83665,326
83666,326
83667,326
83668,326
83669,326
83670,326
83690,326
83691,326
83692,326
83693,326
83694,326
83695,326
83702,326
83703,326
83704,326
83705,326
83706,326
83707,326
84651,330
84652,330
84653,330
84654,330
84655,330
84656,330
84657,330
84665,330
84666,330
84667,330
84668,330
84669,330
84670,330
84683,330
84684,330
84685,330
84686,330
84687,330
84688,330
84728,330
84729,330
84730,330
84731,330
84732,330
84733,330
85783,334
85784,334
85785,334
85786,334
85787,334
85788,334
86887,338
86888,338
86889,338
86890,338
86891,338
86892,338
86949,338
86950,338
86951,338
86952,338
86953,338
86954,338
86961,338
86962,338
86963,338
86964,338
87710,341
87711,341
87712,341
87713,341
87714,341
87715,341
87716,341
87735,341
87736,341
87737,341
87738,341
87739,341
87740,341
87747,341
87748,341
87749,341
87750,341
87751,341
87752,341
89980,350
89981,350
89982,350
89983,350
89984,350
89985,350
89986,350
89993,350
89994,350
89995,350
89996,350
89997,350
89998,350
90011,350
90012,350
90013,350
90014,350
90015,350
90016,350
90023,350
90024,350
90025,350
90026,350
90027,350
90028,350
93981,365
93982,365
93983,365
93984,365
93985,365
93986,365
94012,365
94013,365
94014,365
94015,365
94016,365
94017,365
97969,380
97970,380
97971,380
97972,380
97973,380
97974,380
97981,380
97982,380
97983,380
97984,380
97985,380
97986,380
97994,380
97995,380
97996,380
97997,380
97998,380
97999,380
98000,380
98033,380
98034,380
98035,380
98036,380
98037,380
98038,380
100339,389
100340,389
100341,389
100342,389
100343,389
100344,389
100351,389
100352,389
100353,389
100354,389
100355,389
100356,389
100375,389
100376,389
100377,389
100378,389
100379,389
100380,389
100387,389
100388,389
100389,389
100390,389
100391,389
100392,389
101284,393
101285,393
101286,393
101287,393
101288,393
101289,393
101297,393
101298,393
101299,393
101300,393
101301,393
101302,393
101309,393
101310,393
101311,393
101312,393
101313,393
101314,393
101321,393
101322,393
101323,393
101324,393
101325,393
101326,393
101327,393
102705,398
102706,398
102707,398
102708,398
102709,398
102710,398
102754,398
102755,398
102756,398
102757,398
102758,398
102759,398
106971,415
106972,415
106973,415
106974,415
106975,415
106976,415
106983,415
106984,415
106985,415
106986,415
106987,415
106988,415
106995,415
106996,415
106997,415
106998,415
106999,415
107000,415
108339,420
108340,420
108341,420
108342,420
108343,420
108344,420
108351,420
108352,420
108353,420
108354,420
108355,420
108356,420
108370,420
108371,420
108372,420
108373,420
108374,420
108375,420
108382,420
108383,420
108384,420
108385,420
108386,420
108387,420
109809,426
109810,426
109811,426
109812,426
109813,426
109814,426
111115,431
111116,431
111117,431
111118,431
111119,431
111120,431
113003,438
113004,438
113005,438
113006,438
113007,438
113008,438
113015,438
113016,438
113017,438
113018,438
113019,438
113020,438
113047,438
113048,438
113049,438
113050,438
113051,438
113052,438
116001,450
116002,450
116003,450
116004,450
116005,450
116006,450
116014,450
116015,450
116016,450
116017,450
116018,450
116019,450
116020,450
116027,450
116028,450
116029,450
116030,450
116031,450
116032,450
116039,450
116040,450
116041,450
116042,450
116043,450
116044,450
117396,455
117397,455
117398,455
117399,455
117400,455
117401,455
117408,455
117409,455
117410,455
117411,455
117412,455
117413,455
117420,455
117421,455
117422,455
117423,455
117424,455
117425,455
117433,455
117434,455
117435,455
117436,455
117437,455
117438,455
118091,458
118092,458
118093,458
118094,458
118095,458
118096,458
118116,458
118117,458
118118,458
118119,458
118120,458
118121,458
118128,458
118129,458
118130,458
118131,458
118132,458
118133,458
118867,461
118868,461
118869,461
118870,461
118871,461
118872,461
118879,461
118880,461
118881,461
118882,461
118883,461
118884,461
123063,478
123064,478
123065,478
123066,478
123067,478
123068,478
123069,478
123083,478
123084,478
123085,478
123086,478
123087,478
123088,478
124240,483
124241,483
124242,483
124243,483
124244,483
124245,483
124253,483
124254,483
124255,483
124256,483
124257,483
124258,483
124265,483
124266,483
124267,483
124268,483
124269,483
124270,483
