Index,Match
37007,144
37008,144
37009,144
37010,144
37011,144
37012,144
37019,144
37020,144
37021,144
37022,144
37023,144
37024,144
37031,144
37032,144
37033,144
37034,144
37035,144
37036,144
39777,155
39778,155
39779,155
39780,155
39781,155
39782,155
39789,155
39790,155
39791,155
39792,155
39793,155
39794,155
40930,159
40931,159
40932,159
40933,159
40934,159
40935,159
40942,159
40943,159
40944,159
40945,159
40946,159
40947,159
40954,159
40955,159
40956,159
40957,159
40958,159
40959,159
41606,162
41607,162
41608,162
41609,162
41610,162
41611,162
42119,164
42120,164
42121,164
42122,164
42123,164
42124,164
42131,164
42132,164
42133,164
42134,164
42135,164
42136,164
42162,164
42163,164
42164,164
42165,164
42166,164
42167,164
43159,168
43160,168
43161,168
43162,168
43163,168
43164,168
44148,172
44149,172
44150,172
44151,172
44152,172
44153,172
49223,192
49224,192
49225,192
49226,192
49227,192
49228,192
52000,202
52001,202
52002,202
52003,202
52004,202
52005,202
52006,202
