Index,Match
696,3
697,3
698,3
699,3
700,3
701,3
708,3
709,3
710,3
711,3
712,3
713,3
726,3
727,3
728,3
729,3
730,3
731,3
759,3
760,3
761,3
762,3
763,3
764,3
1483,6
1484,6
1485,6
1486,6
1487,6
1488,6
1489,6
1496,6
1497,6
1498,6
1499,6
1500,6
1501,6
1509,6
1510,6
1511,6
1512,6
1513,6
1514,6
1534,6
1535,6
1536,6
1537,6
1538,6
1539,6
4996,20
4997,20
4998,20
4999,20
5000,20
5001,20
5014,20
5015,20
5016,20
5017,20
5018,20
5019,20
5046,20
5047,20
5048,20
5049,20
5050,20
5051,20
5052,20
200822,781
200823,781
200824,781
200825,781
200826,781
200827,781
200834,781
200835,781
200836,781
200837,781
200838,781
200839,781
200840,781
200872,781
200873,781
200874,781
200875,781
200876,781
200877,781
201621,784
201622,784
201623,784
201624,784
201625,784
201626,784
201633,784
201634,784
201635,784
201636,784
201637,784
201638,784
201645,784
201646,784
201647,784
201648,784
201649,784
201650,784
201651,784
201658,784
201659,784
201660,784
201661,784
201662,784
201663,784
202536,787
202537,787
202538,787
202539,787
202540,787
202541,787
202548,787
202549,787
202550,787
202551,787
202552,787
202553,787
202578,787
202579,787
202580,787
202581,787
202582,787
202583,787
202591,787
202592,787
202593,787
202594,787
202595,787
202596,787
203316,790
203317,790
203318,790
203319,790
203320,790
203321,790
203328,790
203329,790
203330,790
203331,790
203332,790
203333,790
203334,790
203341,790
203342,790
203343,790
203344,790
203345,790
203346,790
203377,790
203378,790
203379,790
203380,790
203381,790
203382,790
204246,794
204247,794
204248,794
204249,794
204250,794
204251,794
205766,800
205767,800
205768,800
205769,800
205770,800
205771,800
205772,800
205779,800
205780,800
205781,800
205782,800
205783,800
205784,800
205852,800
205853,800
205854,800
205855,800
205856,800
205857,800
209600,815
209601,815
209602,815
209603,815
209604,815
209605,815
209612,815
209613,815
209614,815
209615,815
209616,815
209617,815
209624,815
209625,815
209626,815
209627,815
209628,815
209629,815
209636,815
209637,815
209638,815
209639,815
209640,815
209641,815
