Index,Match
93780,364
93781,364
93782,364
93783,364
93784,364
93785,364
93792,364
93793,364
93794,364
93795,364
93796,364
93797,364
93798,364
93805,364
93806,364
93807,364
93808,364
93809,364
93810,364
96492,375
96493,375
96494,375
96495,375
96496,375
96497,375
96506,375
96507,375
96508,375
96509,375
96510,375
96511,375
96525,375
96526,375
96527,375
96528,375
96529,375
96530,375
96607,375
96608,375
96609,375
96610,375
96611,375
96612,375
97411,378
97412,378
97413,378
97414,378
97415,378
97416,378
97429,378
97430,378
97431,378
97432,378
97433,378
97434,378
97490,378
97491,378
97492,378
97493,378
97494,378
97495,378
97496,378
98615,383
98616,383
98617,383
98618,383
98619,383
98620,383
98628,383
98629,383
98630,383
98631,383
98632,383
98633,383
98634,383
98641,383
98642,383
98643,383
98644,383
98645,383
98646,383
98708,383
98709,383
98710,383
98711,383
98712,383
98713,383
99401,386
99402,386
99403,386
99404,386
99405,386
99406,386
99486,386
99487,386
99488,386
99489,386
99490,386
99491,386
156426,607
156427,607
156428,607
156429,607
156430,607
156431,607
156438,607
156439,607
156440,607
156441,607
156442,607
156443,607
156444,607
156445,607
