Index,Match
42732,166
42733,166
42734,166
42735,166
42736,166
42737,166
42744,166
42745,166
42746,166
42747,166
42748,166
42749,166
42756,166
42757,166
42758,166
42759,166
42760,166
42761,166
42774,166
42775,166
42776,166
42777,166
42778,166
42779,166
43732,171
43733,171
43734,171
43735,171
43736,171
43737,171
43744,171
43745,171
43746,171
43747,171
43748,171
43749,171
43756,171
43757,171
43758,171
43759,171
43760,171
43761,171
43805,171
43806,171
43807,171
43808,171
43809,171
43810,171
44877,175
44878,175
44879,175
44880,175
44881,175
44882,175
44890,175
44891,175
44892,175
44893,175
44894,175
44895,175
44896,175
44903,175
44904,175
44905,175
44906,175
44907,175
44908,175
44952,175
44953,175
44954,175
44955,175
44956,175
44957,175
50229,196
50230,196
50231,196
50232,196
50233,196
50234,196
50235,196
50242,196
50243,196
50244,196
50245,196
50246,196
50247,196
50304,196
50305,196
50306,196
50307,196
50308,196
50309,196
50310,196
50311,196
