Index,Match
99425,386
99426,386
99427,386
99428,386
99429,386
99430,386
107958,419
107959,419
107960,419
107961,419
107962,419
107963,419
107964,419
107971,419
107972,419
107973,419
107974,419
107975,419
107976,419
108056,419
108057,419
108058,419
108059,419
108060,419
108061,419
108062,419
108063,419
109225,424
109226,424
109227,424
109228,424
109229,424
109230,424
109237,424
109238,424
109239,424
109240,424
109241,424
109242,424
110937,430
110938,430
110939,430
110940,430
110941,430
110942,430
110949,430
110950,430
110951,430
110952,430
110953,430
110954,430
111036,430
111037,430
111038,430
111039,430
111040,430
111041,430
111042,430
111043,430
111873,434
111874,434
111875,434
111876,434
111877,434
111878,434
111885,434
111886,434
111887,434
111888,434
111889,434
111890,434
117767,457
117768,457
117769,457
117770,457
117771,457
117772,457
117779,457
117780,457
117781,457
117782,457
117783,457
117784,457
117791,457
117792,457
117793,457
117794,457
117795,457
117796,457
117797,457
119543,464
119544,464
119545,464
119546,464
119547,464
119548,464
119567,464
119568,464
119569,464
119570,464
119571,464
119572,464
120058,466
120059,466
120060,466
120061,466
120062,466
120063,466
