Index,Match
148688,577
148689,577
148690,577
148691,577
148692,577
148693,577
148700,577
148701,577
148702,577
148703,577
148704,577
148705,577
148712,577
148713,577
148714,577
148715,577
148716,577
148717,577
148718,577
148780,577
148781,577
148782,577
148783,577
148784,577
148785,577
149362,580
149363,580
149364,580
149365,580
149366,580
149367,580
149374,580
149375,580
149376,580
149377,580
149378,580
149379,580
149416,580
149417,580
149418,580
149419,580
149420,580
149421,580
149434,580
149435,580
149436,580
149437,580
149438,580
149439,580
151045,586
151046,586
151047,586
151048,586
151049,586
151050,586
151058,586
151059,586
151060,586
151061,586
151062,586
151063,586
151070,586
151071,586
151072,586
151073,586
151074,586
151075,586
151082,586
151083,586
151084,586
151085,586
151086,586
151087,586
152894,593
152895,593
152896,593
152897,593
152898,593
152899,593
152906,593
152907,593
152908,593
152909,593
152910,593
152911,593
152936,593
152937,593
152938,593
152939,593
152940,593
152941,593
152966,593
152967,593
152968,593
152969,593
152970,593
152971,593
153275,595
153276,595
153277,595
153278,595
153279,595
153280,595
153287,595
153288,595
153289,595
153290,595
153291,595
153292,595
153299,595
153300,595
153301,595
153302,595
153303,595
153304,595
153359,595
153360,595
153361,595
153362,595
153363,595
153364,595
156432,607
156433,607
156434,607
156435,607
156436,607
156437,607
156446,607
156447,607
156448,607
156449,607
156450,607
156451,607
156458,607
156459,607
156460,607
156461,607
156462,607
156463,607
156464,607
156465,607
156503,607
156504,607
156505,607
156506,607
156507,607
156508,607
160024,621
160025,621
160026,621
160027,621
160028,621
160029,621
160036,621
160037,621
160038,621
160039,621
160040,621
160041,621
160049,621
160050,621
160051,621
160052,621
160053,621
160054,621
160097,621
160098,621
160099,621
160100,621
160101,621
160102,621
161052,625
161053,625
161054,625
161055,625
161056,625
161057,625
161064,625
161065,625
161066,625
161067,625
161068,625
161069,625
161076,625
161077,625
161078,625
161079,625
161080,625
161081,625
161112,625
161113,625
161114,625
161115,625
161116,625
161117,625
