Index,Match
567,3
568,3
569,3
570,3
571,3
572,3
579,3
580,3
581,3
582,3
583,3
584,3
627,3
628,3
629,3
630,3
631,3
632,3
639,3
640,3
641,3
642,3
643,3
644,3
1720,7
1721,7
1722,7
1723,7
1724,7
1725,7
1733,7
1734,7
1735,7
1736,7
1737,7
1738,7
1751,7
1752,7
1753,7
1754,7
1755,7
1756,7
1787,7
1788,7
1789,7
1790,7
1791,7
1792,7
2601,11
2602,11
2603,11
2604,11
2605,11
2606,11
2607,11
2608,11
2622,11
2623,11
2624,11
2625,11
2626,11
2627,11
2640,11
2641,11
2642,11
2643,11
2644,11
2645,11
2672,11
2673,11
2674,11
2675,11
2676,11
2677,11
2678,11
3498,14
3499,14
3500,14
3501,14
3502,14
3503,14
3522,14
3523,14
3524,14
3525,14
3526,14
3527,14
3552,14
3553,14
3554,14
3555,14
3556,14
3557,14
3566,14
3567,14
3568,14
3569,14
3570,14
3571,14
4444,18
4445,18
4446,18
4447,18
4448,18
4449,18
4456,18
4457,18
4458,18
4459,18
4460,18
4461,18
4504,18
4505,18
4506,18
4507,18
4508,18
4509,18
4528,18
4529,18
4530,18
4531,18
4532,18
4533,18
4534,18
5866,23
5867,23
5868,23
5869,23
5870,23
5871,23
5885,23
5886,23
5887,23
5888,23
5889,23
5890,23
5921,23
5922,23
5923,23
5924,23
5925,23
5926,23
5951,23
5952,23
5953,23
5954,23
5955,23
5956,23
7281,29
7282,29
7283,29
7284,29
7285,29
7286,29
7287,29
7294,29
7295,29
7296,29
7297,29
7298,29
7299,29
7342,29
7343,29
7344,29
7345,29
7346,29
7347,29
7360,29
7361,29
7362,29
7363,29
7364,29
7365,29
7776,31
7777,31
7778,31
7779,31
7780,31
7781,31
7782,31
7807,31
7808,31
7809,31
7810,31
7811,31
7812,31
7838,31
7839,31
7840,31
7841,31
7842,31
7843,31
7856,31
7857,31
7858,31
7859,31
7860,31
7861,31
9005,36
9006,36
9007,36
9008,36
9009,36
9010,36
9011,36
9051,36
9052,36
9053,36
9054,36
9055,36
9056,36
9075,36
9076,36
9077,36
9078,36
9079,36
9080,36
10201,40
10202,40
10203,40
10204,40
10205,40
10206,40
10213,40
10214,40
10215,40
10216,40
10217,40
10218,40
10225,40
10226,40
10227,40
10228,40
10229,40
10230,40
10237,40
10238,40
10239,40
10240,40
10241,40
10242,40
11330,45
11331,45
11332,45
11333,45
11334,45
11335,45
11343,45
11344,45
11345,45
11346,45
11347,45
11348,45
11385,45
11386,45
11387,45
11388,45
11389,45
11390,45
11397,45
11398,45
11399,45
11400,45
11401,45
11402,45
12083,48
12084,48
12085,48
12086,48
12087,48
12088,48
12096,48
12097,48
12098,48
12099,48
12100,48
12101,48
12153,48
12154,48
12155,48
12156,48
12157,48
12158,48
12165,48
12166,48
12167,48
12168,48
12169,48
12170,48
13414,53
13415,53
13416,53
13417,53
13418,53
13419,53
13420,53
13457,53
13458,53
13459,53
13460,53
13461,53
13462,53
13475,53
13476,53
13477,53
13478,53
13479,53
13480,53
13487,53
13488,53
13489,53
13490,53
13491,53
13492,53
14419,57
14420,57
14421,57
14422,57
14423,57
14424,57
14449,57
14450,57
14451,57
14452,57
14453,57
14454,57
14467,57
14468,57
14469,57
14470,57
14471,57
14472,57
14486,57
14487,57
14488,57
14489,57
14490,57
14491,57
14706,58
14707,58
14708,58
14709,58
14710,58
14711,58
14718,58
14719,58
14720,58
14721,58
14722,58
14723,58
14736,58
14737,58
14738,58
14739,58
14740,58
14741,58
14748,58
14749,58
14750,58
14751,58
14752,58
14753,58
15620,62
15621,62
15622,62
15623,62
15624,62
15625,62
15632,62
15633,62
15634,62
15635,62
15636,62
15637,62
15644,62
15645,62
15646,62
15647,62
15648,62
15649,62
15686,62
15687,62
15688,62
15689,62
15690,62
15691,62
16257,64
16258,64
16259,64
16260,64
16261,64
16262,64
16269,64
16270,64
16271,64
16272,64
16273,64
16274,64
16281,64
16282,64
16283,64
16284,64
16285,64
16286,64
16306,64
16307,64
16308,64
16309,64
16310,64
16311,64
17457,69
17458,69
17459,69
17460,69
17461,69
17462,69
17469,69
17470,69
17471,69
17472,69
17473,69
17474,69
17475,69
17512,69
17513,69
17514,69
17515,69
17516,69
17517,69
17536,69
17537,69
17538,69
17539,69
17540,69
17541,69
18273,72
18274,72
18275,72
18276,72
18277,72
18278,72
18309,72
18310,72
18311,72
18312,72
18313,72
18314,72
18321,72
18322,72
18323,72
18324,72
18325,72
18326,72
18638,74
18639,74
18640,74
18641,74
18642,74
18643,74
18680,74
18681,74
18682,74
18683,74
18684,74
18685,74
18704,74
18705,74
18706,74
18707,74
18708,74
18709,74
18722,74
18723,74
18724,74
18725,74
18726,74
18727,74
19571,77
19572,77
19573,77
19574,77
19575,77
19576,77
19589,77
19590,77
19591,77
19592,77
19593,77
19594,77
19601,77
19602,77
19603,77
19604,77
19605,77
19606,77
21498,85
21499,85
21500,85
21501,85
21502,85
21503,85
21528,85
21529,85
21530,85
21531,85
21532,85
21533,85
21578,85
21579,85
21580,85
21581,85
21582,85
21583,85
22273,88
22274,88
22275,88
22276,88
22277,88
22278,88
22292,88
22293,88
22294,88
22295,88
22296,88
22297,88
22354,88
22355,88
22356,88
22357,88
22358,88
22359,88
22366,88
22367,88
22368,88
22369,88
22370,88
22371,88
23299,92
23300,92
23301,92
23302,92
23303,92
23304,92
23342,92
23343,92
23344,92
23345,92
23346,92
23347,92
23366,92
23367,92
23368,92
23369,92
23370,92
23371,92
23392,92
23393,92
23394,92
23395,92
23396,92
23397,92
24335,96
24336,96
24337,96
24338,96
24339,96
24340,96
24385,96
24386,96
24387,96
24388,96
24389,96
24390,96
24415,96
24416,96
24417,96
24418,96
24419,96
24420,96
24429,96
24430,96
24431,96
24432,96
24433,96
24434,96
25390,100
25391,100
25392,100
25393,100
25394,100
25395,100
25408,100
25409,100
25410,100
25411,100
25412,100
25413,100
25458,100
25459,100
25460,100
25461,100
25462,100
25463,100
25471,100
25472,100
25473,100
25474,100
25475,100
25476,100
26278,103
26279,103
26280,103
26281,103
26282,103
26283,103
26328,103
26329,103
26330,103
26331,103
26332,103
26333,103
26340,103
26341,103
26342,103
26343,103
26344,103
26345,103
26378,103
26379,103
26380,103
26381,103
26382,103
26383,103
27396,108
27397,108
27398,108
27399,108
27400,108
27401,108
27402,108
27409,108
27410,108
27411,108
27412,108
27413,108
27414,108
27439,108
27440,108
27441,108
27442,108
27443,108
27444,108
27469,108
27470,108
27471,108
27472,108
27473,108
27474,108
28706,113
28707,113
28708,113
28709,113
28710,113
28711,113
28718,113
28719,113
28720,113
28721,113
28722,113
28723,113
28724,113
28755,113
28756,113
28757,113
28758,113
28759,113
28760,113
28786,113
28787,113
28788,113
28789,113
28790,113
28791,113
28792,113
29903,117
29904,117
29905,117
29906,117
29907,117
29908,117
29909,117
29922,117
29923,117
29924,117
29925,117
29926,117
29927,117
29958,117
29959,117
29960,117
29961,117
29962,117
29963,117
29970,117
29971,117
29972,117
29973,117
29974,117
29975,117
30051,118
30052,118
30053,118
30054,118
30055,118
30056,118
30087,118
30088,118
30089,118
30090,118
30091,118
30092,118
30105,118
