Index,Match
79711,311
79712,311
79713,311
79714,311
79715,311
79716,311
79717,311
79736,311
79737,311
79738,311
79739,311
79740,311
79741,311
79748,311
79749,311
79750,311
79751,311
79752,311
79753,311
81101,316
81102,316
81103,316
81104,316
81105,316
81106,316
81115,316
81116,316
81117,316
81118,316
81119,316
81120,316
81128,316
81129,316
81130,316
81131,316
81132,316
81133,316
81140,316
81141,316
81142,316
81143,316
81144,316
81145,316
82230,320
82231,320
82232,320
82233,320
82234,320
82235,320
82242,320
82243,320
82244,320
82245,320
82246,320
82247,320
83125,324
83126,324
83127,324
83128,324
83129,324
83130,324
83168,324
83169,324
83170,324
83171,324
83172,324
83173,324
84018,327
84019,327
84020,327
84021,327
84022,327
84023,327
84036,327
84037,327
84038,327
84039,327
84040,327
84041,327
85010,331
85011,331
85012,331
85013,331
85014,331
85015,331
85053,331
85054,331
85055,331
85056,331
85057,331
85058,331
85071,331
85072,331
85073,331
85074,331
85075,331
85076,331
86749,338
86750,338
86751,338
86752,338
86753,338
86754,338
