Index,Match
64385,250
64386,250
64387,250
64388,250
64389,250
64390,250
64391,250
64398,250
64399,250
64400,250
64401,250
64402,250
64403,250
64442,250
64443,250
64444,250
64445,250
64446,250
64447,250
64478,250
64479,250
64480,250
64481,250
64482,250
64483,250
66556,258
66557,258
66558,258
66559,258
66560,258
66561,258
66562,258
66563,258
66571,258
66572,258
66573,258
66574,258
66575,258
66576,258
66652,258
66653,258
66654,258
66655,258
66656,258
66657,258
66664,258
66665,258
66666,258
66667,258
66668,258
66669,258
67739,263
67740,263
67741,263
67742,263
67743,263
67744,263
67752,263
67753,263
67754,263
67755,263
67756,263
67757,263
67836,263
67837,263
67838,263
67839,263
67840,263
67841,263
67849,263
67850,263
67851,263
67852,263
67853,263
67854,263
68585,266
68586,266
68587,266
68588,266
68589,266
68590,266
68591,266
68592,266
68600,266
68601,266
68602,266
68603,266
68604,266
68605,266
68624,266
68625,266
68626,266
68627,266
68628,266
68629,266
68681,266
68682,266
68683,266
69189,269
69190,269
69191,269
69192,269
69193,269
69194,269
69202,269
69203,269
69204,269
69205,269
69206,269
69207,269
69292,269
69293,269
69294,269
69295,269
69296,269
69297,269
69304,269
69305,269
69306,269
69307,269
69308,269
69309,269
69310,269
72173,281
72174,281
72175,281
72176,281
72177,281
72178,281
72185,281
72186,281
72187,281
72188,281
72189,281
72190,281
72191,281
72192,281
72199,281
72200,281
72201,281
72202,281
72203,281
72204,281
72205,281
72286,281
72287,281
72288,281
72289,281
72290,281
72291,281
73042,285
73043,285
73044,285
73045,285
73046,285
73047,285
73048,285
73062,285
73063,285
73064,285
73065,285
73066,285
73067,285
73146,285
73147,285
73148,285
73149,285
73150,285
73151,285
73158,285
73159,285
73160,285
73161,285
73162,285
73163,285
74471,290
74472,290
74473,290
74474,290
74475,290
74476,290
74477,290
74496,290
74497,290
74498,290
74499,290
74500,290
74501,290
74577,290
74578,290
74579,290
74580,290
74581,290
74582,290
74590,290
74591,290
74592,290
74593,290
74594,290
74595,290
74596,290
75148,293
75149,293
75150,293
75151,293
75152,293
75153,293
75154,293
75162,293
75163,293
75164,293
75165,293
75166,293
75167,293
75249,293
75250,293
75251,293
75252,293
75253,293
75254,293
75262,293
75263,293
75264,293
75265,293
75266,293
75267,293
75811,295
75812,295
75813,295
75814,295
75815,295
75816,295
75817,295
75825,295
75826,295
75827,295
75828,295
75829,295
75830,295
75831,295
76163,297
76164,297
76165,297
76166,297
76167,297
76168,297
76169,297
76255,297
76256,297
76257,297
76258,297
76259,297
76260,297
76267,297
76268,297
76269,297
76270,297
76271,297
76272,297
76281,297
76282,297
76283,297
76284,297
76285,297
76286,297
