Index,Match
412,2
413,2
414,2
415,2
416,2
417,2
418,2
425,2
426,2
427,2
428,2
429,2
430,2
473,2
474,2
475,2
476,2
477,2
478,2
498,2
499,2
500,2
501,2
502,2
503,2
504,2
2828,12
2829,12
2830,12
2831,12
2832,12
2833,12
2834,12
2835,12
2842,12
2843,12
2844,12
2845,12
2846,12
2847,12
13512,53
13513,53
13514,53
13515,53
13516,53
13517,53
13525,53
13526,53
13527,53
13528,53
13529,53
13530,53
13531,53
13612,53
13613,53
13614,53
13615,53
13616,53
13617,53
13618,53
13625,53
13626,53
13627,53
13628,53
13629,53
13630,53
22391,88
22392,88
22393,88
22394,88
22395,88
22396,88
22397,88
22404,88
22405,88
22406,88
22407,88
22408,88
22409,88
22410,88
22480,88
22481,88
22482,88
22483,88
22484,88
22485,88
22500,88
22501,88
22502,88
22503,88
22504,88
22505,88
22926,90
22927,90
22928,90
22929,90
22930,90
22931,90
22939,90
22940,90
22941,90
22942,90
22943,90
22944,90
22945,90
23038,90
23039,90
23040,90
23041,90
23042,90
23043,90
23050,90
23051,90
23052,90
23053,90
23054,90
23055,90
23919,94
23920,94
23921,94
23922,94
23923,94
23924,94
23937,94
23938,94
23939,94
23940,94
23941,94
23942,94
23949,94
23950,94
23951,94
23952,94
23953,94
23954,94
24852,98
24853,98
24854,98
24855,98
24856,98
24857,98
24864,98
24865,98
24866,98
24867,98
24868,98
24869,98
24870,98
24947,98
24948,98
24949,98
24950,98
24951,98
24952,98
24959,98
24960,98
24961,98
24962,98
24963,98
24964,98
26443,104
26444,104
26445,104
26446,104
26447,104
26448,104
26449,104
26456,104
26457,104
26458,104
26459,104
26460,104
26461,104
26524,104
26525,104
26526,104
26527,104
26528,104
26529,104
26530,104
26537,104
26538,104
26539,104
26540,104
26541,104
26542,104
26543,104
27219,107
27220,107
27221,107
27222,107
27223,107
27224,107
27231,107
27232,107
27233,107
27234,107
27235,107
27236,107
28021,110
28022,110
28023,110
28024,110
28025,110
28026,110
28063,110
28064,110
28065,110
28066,110
28067,110
28068,110
28112,110
28113,110
28114,110
28115,110
28116,110
28117,110
28125,110
28126,110
28127,110
28128,110
28129,110
28130,110
28131,110
28448,112
28449,112
28450,112
28451,112
28452,112
28453,112
28460,112
28461,112
28462,112
28463,112
28464,112
28465,112
28529,112
28530,112
28531,112
28532,112
28533,112
28534,112
28535,112
28542,112
28543,112
28544,112
28545,112
28546,112
28547,112
34905,136
34906,136
34907,136
34908,136
34909,136
34910,136
34911,136
34919,136
34920,136
34921,136
34922,136
34923,136
34924,136
34931,136
34932,136
34933,136
34934,136
34935,136
34936,136
35020,136
35021,136
35022,136
35023,136
35024,136
35025,136
35693,139
35694,139
35695,139
35696,139
35697,139
35698,139
35699,139
35700,139
35707,139
35708,139
35709,139
35710,139
35711,139
35712,139
41420,161
41421,161
41422,161
41423,161
41424,161
41425,161
41426,161
41447,161
41448,161
41449,161
41450,161
41451,161
41452,161
41519,161
41520,161
41521,161
41522,161
41523,161
41524,161
107055,415
107056,415
107057,415
107058,415
107059,415
107060,415
107068,415
107069,415
107070,415
107071,415
107072,415
107073,415
107154,415
107155,415
107156,415
107157,415
107158,415
107159,415
107166,415
107167,415
107168,415
107169,415
107170,415
107171,415
109089,423
109090,423
109091,423
109092,423
109093,423
109094,423
109102,423
109103,423
109104,423
109105,423
109106,423
109107,423
109168,423
109169,423
109170,423
109171,423
109172,423
109173,423
109192,423
109193,423
109194,423
109195,423
109196,423
109197,423
110411,428
110412,428
110413,428
110414,428
110415,428
110416,428
110417,428
110424,428
