Index,Match
72850,284
72851,284
72852,284
72853,284
72854,284
72855,284
80330,313
80331,313
80332,313
80333,313
80334,313
80335,313
81035,316
81036,316
81037,316
81038,316
81039,316
81040,316
82330,321
82331,321
82332,321
82333,321
82334,321
82335,321
82342,321
82343,321
82344,321
82345,321
82346,321
82347,321
82354,321
82355,321
82356,321
82357,321
82358,321
82359,321
85715,334
85716,334
85717,334
85718,334
85719,334
85720,334
85727,334
85728,334
85729,334
85730,334
85731,334
85732,334
85739,334
85740,334
85741,334
85742,334
85743,334
85744,334
85751,334
85752,334
85753,334
85754,334
85755,334
85756,334
86881,338
86882,338
86883,338
86884,338
86885,338
86886,338
86899,338
86900,338
86901,338
86902,338
86903,338
86904,338
87723,341
87724,341
87725,341
87726,341
87727,341
87728,341
88781,345
88782,345
88783,345
88784,345
88785,345
88786,345
90606,352
90607,352
90608,352
90609,352
90610,352
90611,352
90619,352
90620,352
90621,352
90622,352
90623,352
90624,352
90631,352
90632,352
90633,352
90634,352
90635,352
90636,352
91865,357
91866,357
91867,357
91868,357
91869,357
91870,357
94000,365
94001,365
94002,365
94003,365
94004,365
94005,365
94053,365
94054,365
94055,365
94056,365
94057,365
94058,365
94078,365
104122,404
104123,404
104124,404
104125,404
104126,404
104127,404
104134,404
104135,404
104136,404
104137,404
104138,404
104139,404
104176,404
104177,404
104178,404
104179,404
104180,404
104181,404
104189,404
104190,404
104191,404
104192,404
104193,404
104194,404
105459,409
105460,409
105461,409
105462,409
105463,409
105464,409
107473,417
107474,417
107475,417
107476,417
107477,417
107478,417
107486,417
107487,417
107488,417
107489,417
107490,417
107491,417
107498,417
107499,417
107500,417
107501,417
107502,417
107503,417
107549,417
107550,417
107551,417
107552,417
107553,417
107554,417
108884,422
108885,422
108886,422
108887,422
108888,422
108889,422
109556,425
109557,425
109558,425
109559,425
109560,425
109561,425
109568,425
109569,425
109570,425
109571,425
109572,425
109573,425
110314,428
110315,428
110316,428
110317,428
110318,428
110319,428
110339,428
110340,428
110341,428
110342,428
110343,428
110344,428
112840,438
112841,438
112842,438
112843,438
112844,438
112845,438
112852,438
112853,438
112854,438
112855,438
112856,438
112857,438
112858,438
119397,463
119398,463
119399,463
119400,463
119401,463
119402,463
119403,463
130763,509
130764,509
130765,509
130766,509
130767,509
130768,509
130813,509
130814,509
130815,509
130816,509
130817,509
130818,509
134733,524
134734,524
134735,524
134736,524
134737,524
134738,524
134763,524
134764,524
134765,524
134766,524
134767,524
134768,524
137902,536
137903,536
137904,536
137905,536
137906,536
137907,536
142126,552
142127,552
142128,552
142129,552
142130,552
142131,552
142132,552
143135,556
143136,556
143137,556
143138,556
143139,556
143140,556
143141,556
146374,568
146375,568
146376,568
146377,568
146378,568
146379,568
