Index,Match
2580,11
2581,11
2582,11
2583,11
2584,11
2585,11
2586,11
2587,11
2615,11
2616,11
2617,11
2618,11
2619,11
2620,11
2621,11
2652,11
2653,11
2654,11
2655,11
2656,11
2657,11
2685,11
2686,11
2687,11
2688,11
2689,11
2690,11
3473,14
3474,14
3475,14
3476,14
3477,14
3478,14
3479,14
3486,14
3487,14
3488,14
3489,14
3490,14
3491,14
3546,14
3547,14
3548,14
3549,14
3550,14
3551,14
4438,18
4439,18
4440,18
4441,18
4442,18
4443,18
4468,18
4469,18
4470,18
4471,18
4472,18
4473,18
4498,18
4499,18
4500,18
4501,18
4502,18
4503,18
4522,18
4523,18
4524,18
4525,18
4526,18
4527,18
5933,23
5934,23
5935,23
5936,23
5937,23
5938,23
5945,23
5946,23
5947,23
5948,23
5949,23
5950,23
6921,27
6922,27
6923,27
6924,27
6925,27
6926,27
6935,27
6936,27
6937,27
6938,27
6939,27
6940,27
6947,27
6948,27
6949,27
6950,27
6951,27
6952,27
7261,29
7262,29
7263,29
7264,29
7265,29
7266,29
7267,29
7274,29
7275,29
7276,29
7277,29
7278,29
7279,29
7280,29
7379,29
7380,29
7381,29
7382,29
7383,29
7384,29
7385,29
7758,31
7759,31
7760,31
7761,31
7762,31
7763,31
7789,31
7790,31
7791,31
7792,31
7793,31
7794,31
7813,31
7814,31
7815,31
7816,31
7817,31
7818,31
7819,31
7832,31
7833,31
7834,31
7835,31
7836,31
7837,31
8987,36
8988,36
8989,36
8990,36
8991,36
8992,36
9020,36
9021,36
9022,36
9023,36
9024,36
9025,36
9045,36
9046,36
9047,36
9048,36
9049,36
9050,36
9069,36
9070,36
9071,36
9072,36
9073,36
9074,36
10163,40
10164,40
10165,40
10166,40
10167,40
10168,40
10176,40
10177,40
10178,40
10179,40
10180,40
10181,40
10249,40
10250,40
10251,40
10252,40
10253,40
10254,40
10261,40
10262,40
10263,40
10264,40
10265,40
10266,40
11306,45
11307,45
11308,45
11309,45
11310,45
11311,45
11318,45
11319,45
11320,45
11321,45
11322,45
11323,45
11336,45
11337,45
11338,45
11339,45
11340,45
11341,45
11342,45
11422,45
11423,45
11424,45
11425,45
11426,45
11427,45
12064,48
12065,48
12066,48
12067,48
12068,48
12069,48
12076,48
12077,48
12078,48
12079,48
12080,48
12081,48
12082,48
12089,48
12090,48
12091,48
12092,48
12093,48
12094,48
12095,48
13408,53
13409,53
13410,53
13411,53
13412,53
13413,53
13421,53
13422,53
13423,53
13424,53
13425,53
13426,53
13469,53
13470,53
13471,53
13472,53
13473,53
13474,53
13481,53
13482,53
13483,53
13484,53
13485,53
13486,53
14389,57
14390,57
14391,57
14392,57
14393,57
14394,57
14401,57
14402,57
14403,57
14404,57
14405,57
14406,57
14413,57
14414,57
14415,57
14416,57
14417,57
14418,57
14479,57
14480,57
14481,57
14482,57
14483,57
14484,57
14485,57
14681,58
14682,58
14683,58
14684,58
14685,58
14686,58
14694,58
14695,58
14696,58
14697,58
14698,58
14699,58
14768,58
14769,58
14770,58
14771,58
15735,62
15736,62
15737,62
15738,62
15739,62
15740,62
15741,62
15748,62
15749,62
15750,62
15751,62
15752,62
15753,62
15761,62
15762,62
15763,62
15764,62
15765,62
15766,62
15807,62
15808,62
15809,62
15810,62
15811,62
15812,62
15813,62
16796,67
16797,67
16798,67
16799,67
16800,67
16801,67
16808,67
16809,67
16810,67
16811,67
16812,67
16813,67
16820,67
16821,67
16822,67
16823,67
16824,67
16825,67
16887,67
16888,67
16889,67
16890,67
16891,67
16892,67
17594,70
17595,70
17596,70
17597,70
17598,70
17599,70
17600,70
17632,70
17633,70
17634,70
17635,70
17636,70
17637,70
17670,70
17671,70
17672,70
17673,70
17674,70
17675,70
17676,70
17677,70
17696,70
17697,70
17698,70
17699,70
17700,70
17701,70
17702,70
18349,73
18350,73
18351,73
18352,73
18353,73
18354,73
18361,73
18362,73
18363,73
18364,73
18365,73
18366,73
18436,73
18437,73
18438,73
18439,73
18440,73
18441,73
18448,73
18449,73
18450,73
18451,73
18452,73
