Index,Match
1861,8
1862,8
1863,8
1864,8
1865,8
1866,8
1873,8
1874,8
1875,8
1876,8
1877,8
1878,8
1916,8
1917,8
1918,8
1919,8
1920,8
1921,8
1928,8
1929,8
1930,8
1931,8
1932,8
1933,8
2737,11
2738,11
2739,11
2740,11
2741,11
2742,11
2767,11
2768,11
2769,11
2770,11
2771,11
2772,11
2773,11
2774,11
3641,15
3642,15
3643,15
3644,15
3645,15
3646,15
3660,15
3661,15
3662,15
3663,15
3664,15
3665,15
3666,15
3667,15
3668,15
3675,15
3676,15
3677,15
3678,15
3679,15
3680,15
3711,15
3712,15
3713,15
3714,15
3715,15
3716,15
3717,15
3718,15
8891,35
8892,35
8893,35
8894,35
8895,35
8896,35
8905,35
8906,35
8907,35
8908,35
8909,35
8910,35
10690,42
10691,42
10692,42
10693,42
10694,42
10695,42
10702,42
10703,42
10704,42
10705,42
10706,42
10707,42
10744,42
10745,42
10746,42
10747,42
10748,42
10749,42
10750,42
10751,42
10758,42
10759,42
10760,42
10761,42
10762,42
10763,42
11683,46
11684,46
11685,46
11686,46
11687,46
11688,46
11726,46
11727,46
11728,46
11729,46
11730,46
11731,46
11762,46
11763,46
11764,46
11765,46
11766,46
11767,46
11774,46
11775,46
11776,46
11777,46
11778,46
11779,46
34030,133
34031,133
34032,133
34033,133
34034,133
34035,133
41564,162
41565,162
41566,162
41567,162
41568,162
41569,162
41576,162
41577,162
41578,162
41579,162
41580,162
41581,162
41588,162
41589,162
41590,162
41591,162
41592,162
41593,162
41642,162
41643,162
41644,162
41645,162
41646,162
41647,162
42083,164
42084,164
42085,164
42086,164
42087,164
42088,164
42095,164
42096,164
42097,164
42098,164
42099,164
42100,164
42174,164
42175,164
42176,164
42177,164
42178,164
42179,164
42199,164
42200,164
42201,164
42202,164
42203,164
42204,164
42205,164
43147,168
43148,168
43149,168
43150,168
43151,168
43152,168
44118,172
44119,172
44120,172
44121,172
44122,172
44123,172
44196,172
44197,172
44198,172
44199,172
44200,172
44201,172
44202,172
48134,188
48135,188
48136,188
48137,188
48138,188
48139,188
48146,188
48147,188
48148,188
48149,188
48150,188
48151,188
48152,188
56038,218
56039,218
56040,218
56041,218
56042,218
56043,218
56062,218
56063,218
56064,218
56065,218
56066,218
56067,218
57850,225
57851,225
57852,225
57853,225
57854,225
57855,225
57856,225
57857,225
57858,225
57865,225
57866,225
57867,225
57868,225
57869,225
57870,225
57871,225
57878,225
57879,225
57880,225
57881,225
57882,225
57883,225
57940,225
57941,225
57942,225
57943,225
57944,225
57945,225
57946,225
113245,439
113246,439
113247,439
113248,439
113249,439
113250,439
113269,439
113270,439
113271,439
113272,439
113273,439
113274,439
113293,439
113294,439
113295,439
113296,439
113297,439
113298,439
113318,439
113319,439
113320,439
113321,439
113322,439
113323,439
120796,469
120797,469
120798,469
120799,469
120800,469
120801,469
120808,469
120809,469
120810,469
120811,469
120812,469
120813,469
120856,469
120857,469
120858,469
120859,469
120860,469
120861,469
120881,469
120882,469
120883,469
120884,469
120885,469
120886,469
120887,469
121785,473
121786,473
121787,473
121788,473
121789,473
121790,473
121791,473
121792,473
121818,473
121819,473
121820,473
121821,473
121822,473
121823,473
121830,473
121831,473
121832,473
121833,473
121834,473
121835,473
121855,473
121856,473
121857,473
121858,473
121859,473
121860,473
121861,473
121862,473
131283,511
131284,511
131285,511
131286,511
131287,511
131288,511
131295,511
131296,511
131297,511
131298,511
131299,511
131300,511
131343,511
131344,511
131345,511
131346,511
131347,511
131348,511
131380,511
131381,511
131382,511
131383,511
131384,511
131385,511
138278,537
138279,537
138280,537
138281,537
138282,537
138283,537
138291,537
138292,537
138293,537
138294,537
138295,537
138296,537
138342,537
138343,537
138344,537
138345,537
138346,537
138347,537
138348,537
138355,537
138356,537
138357,537
138358,537
138359,537
140078,544
140079,544
140080,544
140081,544
140082,544
140083,544
140090,544
140091,544
140092,544
140093,544
140094,544
140095,544
140138,544
140139,544
140140,544
140141,544
140142,544
140143,544
140150,544
140151,544
141257,549
141258,549
141259,549
141260,549
141261,549
141262,549
141269,549
141270,549
141271,549
141272,549
141273,549
141274,549
141323,549
141324,549
141325,549
141326,549
141327,549
141328,549
141354,549
141355,549
141356,549
141357,549
141358,549
141359,549
142014,552
142015,552
142016,552
142017,552
142018,552
142019,552
142026,552
142027,552
142028,552
142029,552
142030,552
142031,552
142032,552
142088,552
142089,552
142090,552
142091,552
142092,552
142093,552
142120,552
142121,552
142122,552
142123,552
142124,552
142125,552
142570,554
142571,554
142572,554
142573,554
142574,554
142575,554
142576,554
142601,554
142602,554
142603,554
142604,554
142605,554
142606,554
142613,554
142614,554
142615,554
142616,554
142617,554
142618,554
142638,554
142639,554
142640,554
142641,554
142642,554
142643,554
143610,558
143611,558
143612,558
143613,558
143614,558
143615,558
143622,558
143623,558
143624,558
143625,558
143626,558
143627,558
143676,558
143677,558
143678,558
143679,558
143680,558
143681,558
143707,558
143708,558
143709,558
143710,558
143711,558
143712,558
144154,560
144155,560
144156,560
144157,560
144158,560
144159,560
144160,560
144173,560
144174,560
144175,560
144176,560
144177,560
144178,560
144222,560
144223,560
144224,560
144225,560
144226,560
144227,560
144234,560
144235,560
144236,560
144237,560
144238,560
144239,560
144240,560
164622,639
164623,639
164624,639
164625,639
164626,639
164627,639
164634,639
164635,639
164636,639
164637,639
164638,639
164639,639
164640,639
164641,639
164648,639
164649,639
164650,639
164651,639
164652,639
164653,639
165405,642
165406,642
165407,642
165408,642
165409,642
165410,642
165411,642
165419,642
165420,642
165421,642
165422,642
165423,642
165424,642
165462,642
165463,642
165464,642
165465,642
165466,642
165467,642
165492,642
165493,642
165494,642
165495,642
165496,642
165497,642
166954,648
166955,648
166956,648
166957,648
166958,648
166959,648
166967,648
166968,648
166969,648
166970,648
166971,648
166972,648
167004,648
167005,648
167006,648
167007,648
167008,648
167009,648
167040,648
167041,648
167042,648
167043,648
167044,648
167045,648
167046,648
168839,655
168840,655
168841,655
168842,655
168843,655
168844,655
168851,655
168852,655
168853,655
168854,655
168855,655
168856,655
168863,655
168864,655
168865,655
168866,655
168867,655
168868,655
168869,655
168932,655
168933,655
168934,655
168935,655
168936,655
168937,655
170281,661
170282,661
170283,661
170284,661
170285,661
170286,661
170287,661
170288,661
170314,661
